candidate_id,fold,row_type,max_depth,min_samples_leaf,min_samples_split,max_features,criterion,n_estimators,bootstrap,n_train_unique,n_train_augmented,n_val,train_accuracy,train_roc_auc,train_log_loss,train_brier,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,train_val_log_loss_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_recall_mean,val_f1_mean,train_log_loss_mean,train_roc_auc_mean,train_accuracy_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,mean_fit_seconds
random_003,1.0,fold,5.0,20,40,sqrt,log_loss,400,True,1221.0,2442.0,1544.0,0.6601146601146601,0.7437838858468427,0.6360874667313201,0.2220029427848659,0.5906735751295337,0.6033898305084746,0.6552147239263804,0.6282352941176471,0.6161562607824822,0.672087628646996,0.23962120742532245,0.12762762506436054,0.0360001619156759,0.5059284000017215,,,,,,,,,,,,,,,,,
random_003,2.0,fold,5.0,20,40,sqrt,log_loss,400,True,2765.0,5530.0,1780.0,0.6329113924050633,0.6944062721613742,0.6470763808223575,0.22750911765738,0.5702247191011236,0.585981308411215,0.660695468914647,0.6210995542347697,0.5925878022213515,0.6773982256230787,0.24227501429176732,0.10181846994002264,0.030321844800721198,0.6839679999975488,,,,,,,,,,,,,,,,,
random_003,3.0,fold,5.0,20,40,sqrt,log_loss,400,True,4545.0,9090.0,1609.0,0.6162816281628163,0.6676838504517194,0.6564651189424406,0.23207698802655716,0.584213797389683,0.5887662988966901,0.693853427895981,0.6370048833423766,0.6286804916514072,0.6671206812779005,0.23729007955069115,0.03900335880031225,0.010655562335459834,0.779574699998193,,,,,,,,,,,,,,,,,
random_003,4.0,fold,5.0,20,40,sqrt,log_loss,400,True,6154.0,12308.0,1608.0,0.6039974000649984,0.6543914526081663,0.657953889613341,0.23294724818899679,0.5870646766169154,0.602020202020202,0.6882217090069284,0.6422413793103449,0.6260543565545962,0.6621615552262369,0.23519566395251396,0.028337096053570154,0.004207665612895872,0.9152930999989621,,,,,,,,,,,,,,,,,
random_004,1.0,fold,5.0,40,20,sqrt,log_loss,400,True,1221.0,2442.0,1544.0,0.6478296478296478,0.7186982440050711,0.6446507487820569,0.2261549429354388,0.5919689119170984,0.6035834266517357,0.6613496932515337,0.6311475409836066,0.6186994538278336,0.6718121671237529,0.2394824267452046,0.09999879017723745,0.027161418341696053,0.48972409999987576,,,,,,,,,,,,,,,,,
random_004,2.0,fold,5.0,40,20,sqrt,log_loss,400,True,2765.0,5530.0,1780.0,0.6278481012658228,0.6849363065689595,0.6502943256970966,0.2290587157237033,0.5657303370786517,0.5838095238095238,0.6459430979978925,0.6133066533266633,0.5912836236509645,0.6775443096636148,0.2423547836683441,0.093652682917995,0.027249983966518232,0.7226043999980902,,,,,,,,,,,,,,,,,
random_004,3.0,fold,5.0,40,20,sqrt,log_loss,400,True,4545.0,9090.0,1609.0,0.6121012101210122,0.6613693840352151,0.6583402469142505,0.23297729198374356,0.5823492852703542,0.5877016129032258,0.6891252955082743,0.6343852013057671,0.6290584943717874,0.6669173577911324,0.23719275043227356,0.032310889663427655,0.008577110876881844,0.9646403000006103,,,,,,,,,,,,,,,,,
random_004,4.0,fold,5.0,40,20,sqrt,log_loss,400,True,6154.0,12308.0,1608.0,0.6020474488137797,0.6517362949817044,0.6589612652519232,0.23340141659506178,0.5870646766169154,0.601,0.6939953810623557,0.6441586280814576,0.6250972653648151,0.6628372846453288,0.23545286472684795,0.026639029616889243,0.0038760193934055387,1.5105455000011716,,,,,,,,,,,,,,,,,
random_005,1.0,fold,5.0,40,20,0.4,gini,400,True,1221.0,2442.0,1544.0,0.6699426699426699,0.7403231462250154,0.6329008653592456,0.22052209571228593,0.5835492227979274,0.5968468468468469,0.6503067484662577,0.6224310041103934,0.6143839363107712,0.6720820086565136,0.2396440499279657,0.12593920991424423,0.03918114329726796,0.9277447000022221,,,,,,,,,,,,,,,,,
random_005,2.0,fold,5.0,40,20,0.4,gini,400,True,2765.0,5530.0,1780.0,0.6383363471971067,0.7005342368607674,0.6413238667458423,0.22486202281436532,0.5769662921348314,0.5910780669144982,0.6701791359325606,0.6281481481481481,0.5938158984249682,0.6772270829603949,0.2422146018100642,0.10671833843579925,0.035903216214552613,1.4359211999981198,,,,,,,,,,,,,,,,,
random_005,3.0,fold,5.0,40,20,0.4,gini,400,True,4545.0,9090.0,1609.0,0.6277227722772277,0.6753084023976073,0.6513541743366882,0.22966466111184164,0.5885643256681169,0.591816367265469,0.7009456264775413,0.6417748917748918,0.6283311489733509,0.6655258994610864,0.23657675222561175,0.046977253424256404,0.014171725124398238,2.0469603999990795,,,,,,,,,,,,,,,,,
random_005,4.0,fold,5.0,40,20,0.4,gini,400,True,6154.0,12308.0,1608.0,0.6134221644458888,0.6632541344710915,0.652925156779158,0.230593014563711,0.5907960199004975,0.6063394683026585,0.684757505773672,0.6431670281995662,0.6295170035420156,0.6613249659768403,0.23473925073367818,0.03373713092907593,0.00839980919768235,2.662409900000057,,,,,,,,,,,,,,,,,
random_006,1.0,fold,5.0,40,20,0.6,gini,400,True,1221.0,2442.0,1544.0,0.6691236691236692,0.7526312950125429,0.6285500996852545,0.21840973104997458,0.5790155440414507,0.5936435868331441,0.6417177914110429,0.6167452830188679,0.6121740008583907,0.6727585022884954,0.2399758495712092,0.1404572941541522,0.04420840260324088,1.0354396000002453,,,,,,,,,,,,,,,,,
random_006,2.0,fold,5.0,40,20,0.6,gini,400,True,2765.0,5530.0,1780.0,0.6397830018083183,0.7032913088015129,0.6397607663352523,0.22414086276437908,0.5769662921348314,0.5907407407407408,0.672286617492097,0.6288812222769837,0.5918897465062343,0.6776876633650238,0.24243771948936116,0.11140156229527864,0.03792689702977159,1.7792341999993369,,,,,,,,,,,,,,,,,
