candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,n_train_unique,n_train_augmented,best_iteration,effective_n_estimators,train_accuracy,train_roc_auc,train_log_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,abs_train_val_auc_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_accuracy_mean,val_precision_mean,val_recall_mean,val_f1_mean,train_roc_auc_mean,train_log_loss_mean,mean_abs_train_val_auc_gap,train_val_auc_gap_mean,best_iterations,median_effective_n_estimators,mean_fit_seconds
A3_stronger_child_constraint,2.0,fold,0.03,2,20,0.75,0.85,5.0,0.01,10.0,2765.0,5530.0,410.0,411.0,0.6535262206148282,0.7085062905471069,0.6329949491601102,0.5707865168539326,0.588011417697431,0.6512118018967334,0.618,0.5897480278816514,0.6806627525249113,0.2438075691461563,0.11875826266545553,0.11875826266545553,0.45940189999964787,,,,,,,,,,,,,,,,
A3_stronger_child_constraint,3.0,fold,0.03,2,20,0.75,0.85,5.0,0.01,10.0,4545.0,9090.0,74.0,75.0,0.5988998899889989,0.6308854680938027,0.6683890176291213,0.5879428216283406,0.591044776119403,0.7021276595744681,0.6418152350081038,0.6248369475970492,0.6692338931768824,0.23824845254421234,0.006048520496753529,0.006048520496753529,0.17271830000390764,,,,,,,,,,,,,,,,
A3_stronger_child_constraint,4.0,fold,0.03,2,20,0.75,0.85,5.0,0.01,10.0,6154.0,12308.0,209.0,210.0,0.6059473513162171,0.6434449305254074,0.6587757812746625,0.6032338308457711,0.6135458167330677,0.7113163972286374,0.6588235294117647,0.6386716196784175,0.6583074954971985,0.2332392781972885,0.004773310846989953,0.004773310846989953,0.36055530000157887,,,,,,,,,,,,,,,,
A4_less_gamma,1.0,fold,0.03,2,10,0.75,0.85,2.0,0.01,10.0,1221.0,2442.0,67.0,68.0,0.6257166257166257,0.6622906158120465,0.6633005080130586,0.591321243523316,0.6055045871559633,0.6478527607361964,0.6259632483698874,0.6174446884967222,0.6733439359802859,0.2402096539735794,0.04484592731532433,0.04484592731532433,0.08835969999927329,,,,,,,,,,,,,,,,
A4_less_gamma,2.0,fold,0.03,2,10,0.75,0.85,2.0,0.01,10.0,2765.0,5530.0,577.0,578.0,0.6795660036166365,0.741902135371523,0.6158596825964874,0.5623595505617978,0.5811068702290076,0.6417281348788199,0.6099148723084626,0.5846416330319204,0.6838407981622409,0.24530163407325745,0.15726050233960265,0.15726050233960265,0.6580398000005516,,,,,,,,,,,,,,,,
A4_less_gamma,3.0,fold,0.03,2,10,0.75,0.85,2.0,0.01,10.0,4545.0,9090.0,84.0,85.0,0.6026402640264027,0.6325285438226769,0.6670410038977753,0.5891858297078931,0.5931520644511581,0.6962174940898345,0.6405655247417075,0.6253830375926803,0.6683615565356549,0.23784588277339935,0.0071455062299965455,0.0071455062299965455,0.16225970000232337,,,,,,,,,,,,,,,,
A4_less_gamma,4.0,fold,0.03,2,10,0.75,0.85,2.0,0.01,10.0,6154.0,12308.0,208.0,209.0,0.6062723431914202,0.6446323568777805,0.6582906017691081,0.6013681592039801,0.6114965312190287,0.7124711316397229,0.6581333333333333,0.63803355888523,0.658434139459178,0.23331820964813232,0.006598797992550587,0.006598797992550587,0.35706900000513997,,,,,,,,,,,,,,,,
A5_more_sampling,1.0,fold,0.03,2,10,0.9,1.0,5.0,0.01,10.0,1221.0,2442.0,23.0,24.0,0.6134316134316135,0.6368570118415019,0.678152656635507,0.5835492227979274,0.6023809523809524,0.6208588957055214,0.6114803625377644,0.6049306975687344,0.6819774046731011,0.24443073570728302,0.031926314272767486,0.031926314272767486,0.046026600000914186,,,,,,,,,,,,,,,,
A5_more_sampling,2.0,fold,0.03,2,10,0.9,1.0,5.0,0.01,10.0,2765.0,5530.0,334.0,335.0,0.6459312839059674,0.697054868279358,0.6391796354393017,0.5786516853932584,0.5932521087160263,0.667017913593256,0.6279761904761905,0.5908841912254206,0.6789961254527411,0.243076354265213,0.10617067705393746,0.10617067705393746,0.35294570000405656,,,,,,,,,,,,,,,,
A5_more_sampling,3.0,fold,0.03,2,10,0.9,1.0,5.0,0.01,10.0,4545.0,9090.0,77.0,78.0,0.6022002200220022,0.6319581340415346,0.6681324200861121,0.5947793660658794,0.5962301587301587,0.710401891252955,0.6483279395900755,0.6247377993425232,0.6692261214419244,0.238246351480484,0.007220334699011399,0.007220334699011399,0.1661515000014333,,,,,,,,,,,,,,,,
