candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,unique_fold_train_matches,unique_inner_fit_matches,augmented_inner_fit_observations,inner_early_stop_matches,fold_validation_matches,best_iteration,effective_n_estimators,best_score_inner_early_stop,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,train_val_log_loss_gap,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_f1_mean,val_f1_std,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,median_effective_n_estimators
random_008,3.0,fold,0.02,6,20,0.9,0.75,0.1,0.5,0.5,3971.0,3275.0,6550.0,696.0,1323.0,91.0,92.0,0.6703481904991057,0.6519083969465649,0.716847343687343,0.6334922499978365,0.2210686206817627,0.6847345132743363,0.5865457294028723,0.6262321346242508,0.664585149862024,0.2360570877790451,0.638943894389439,0.06536266754369258,0.09061520906309228,0.031092899864187507,,,,,,,,,,,,,,,,
random_008,4.0,fold,0.02,6,20,0.9,0.75,0.1,0.5,0.5,5294.0,4367.0,8734.0,927.0,1325.0,113.0,114.0,0.6646384195923933,0.6478131440348065,0.7158758939624833,0.6279639079243603,0.218679279088974,0.6841889117043121,0.6060377358490566,0.6328052576962988,0.6623541829269253,0.23495399951934814,0.657030223390276,0.041775408185749874,0.0830706362661845,0.034390275002564974,,,,,,,,,,,,,,,,
random_009,1.0,fold,0.03,4,1,0.75,0.75,0.0,0.1,2.0,1323.0,1091.0,2182.0,232.0,1325.0,44.0,45.0,0.6696559472073769,0.6397800183318056,0.7175361142122534,0.6504544228754218,0.22899070382118225,0.6888361045130641,0.580377358490566,0.5944291924044841,0.6797039142995277,0.24332275986671448,0.6253369272237197,0.0594026598412396,0.12310692180776928,0.029249491424105933,,,,,,,,,,,,,,,,
random_009,2.0,fold,0.03,4,1,0.75,0.75,0.0,0.1,2.0,2648.0,2185.0,4370.0,463.0,1323.0,62.0,63.0,0.6747915805287289,0.6352402745995424,0.6896744014310692,0.6463399389691146,0.22724054753780365,0.6748266013871889,0.6114890400604687,0.627987399532115,0.6636766316636223,0.23550274968147278,0.6717752234993615,0.023751234539073685,0.06168700189895415,0.01733669269450777,,,,,,,,,,,,,,,,
random_009,3.0,fold,0.03,4,1,0.75,0.75,0.0,0.1,2.0,3971.0,3275.0,6550.0,696.0,1323.0,73.0,74.0,0.6676440073883739,0.637557251908397,0.6911128833379141,0.6422799506002123,0.225383922457695,0.6718274813381255,0.5774754346182918,0.6079310742277548,0.6712617579449741,0.23925887048244476,0.6315095583388266,0.0600818172901052,0.08318180911015927,0.028981807344761856,,,,,,,,,,,,,,,,
random_009,4.0,fold,0.03,4,1,0.75,0.75,0.0,0.1,2.0,5294.0,4367.0,8734.0,927.0,1325.0,77.0,78.0,0.6657694518051744,0.6249141286924662,0.6776734706997702,0.6452631109960453,0.22688570618629456,0.6644817697664891,0.5894339622641509,0.6253660786348437,0.6667539847640975,0.2370518445968628,0.6339165545087483,0.03548016642831531,0.05230739206492652,0.021490873768052254,,,,,,,,,,,,,,,,
random_010,1.0,fold,0.03,4,10,0.9,0.75,1.0,0.5,10.0,1323.0,1091.0,2182.0,232.0,1325.0,88.0,89.0,0.6739128117674383,0.6489459211732356,0.7021448628167395,0.6453796755827077,0.2266659140586853,0.6706792777300086,0.5630188679245283,0.5887222603523221,0.6804035790920249,0.24368885159492493,0.589070262597587,0.08592705324870731,0.11342260246441738,0.03502390350931717,,,,,,,,,,,,,,,,
random_010,2.0,fold,0.03,4,10,0.9,0.75,1.0,0.5,10.0,2648.0,2185.0,4370.0,463.0,1323.0,77.0,78.0,0.6782665358892527,0.6251716247139588,0.6821987176352966,0.6479288129697967,0.22795283794403076,0.6548672566371682,0.5978835978835979,0.6247365251430292,0.6640618687863831,0.23573341965675354,0.655440414507772,0.027288026830360912,0.05746219249226736,0.016133055816586417,,,,,,,,,,,,,,,,
random_010,3.0,fold,0.03,4,10,0.9,0.75,1.0,0.5,10.0,3971.0,3275.0,6550.0,696.0,1323.0,137.0,138.0,0.6679348813305641,0.6338931297709923,0.6926849836819965,0.6373808654075912,0.22321860492229462,0.666295574728639,0.5918367346938775,0.6274654218533886,0.6636873823776894,0.2356424629688263,0.6409574468085106,0.04205639507711478,0.06521956182860789,0.026306516970098226,,,,,,,,,,,,,,,,
random_010,4.0,fold,0.03,4,10,0.9,0.75,1.0,0.5,10.0,5294.0,4367.0,8734.0,927.0,1325.0,108.0,109.0,0.664359938043864,0.621937256697962,0.6779730266421862,0.6433655940053677,0.22600585222244263,0.6618881834937539,0.6037735849056604,0.6322333679234405,0.6634149919592262,0.23540958762168884,0.6525479814692257,0.018163671792301606,0.045739658718745635,0.020049397953858406,,,,,,,,,,,,,,,,
random_011,1.0,fold,0.03,4,10,0.9,0.9,0.1,0.5,5.0,1323.0,1091.0,2182.0,232.0,1325.0,83.0,84.0,0.6710941569301588,0.6452795600366636,0.711118441083934,0.6404342541467488,0.22433863580226898,0.670076726342711,0.5652830188679245,0.5901326927476549,0.6794376883618274,0.24321690201759338,0.6005547850208044,0.07999654116873911,0.12098574833627906,0.03900343421507857,,,,,,,,,,,,,,,,
random_011,2.0,fold,0.03,4,10,0.9,0.9,0.1,0.5,5.0,2648.0,2185.0,4370.0,463.0,1323.0,51.0,52.0,0.6796918757275938,0.6210526315789474,0.6796204160014027,0.6520128782210687,0.2298576682806015,0.6526845637583892,0.5956160241874527,0.6254962592360966,0.664997818538267,0.23614606261253357,0.6568313021167415,0.02543660739149467,0.05412415676530602,0.012984940317198324,,,,,,,,,,,,,,,,
random_011,3.0,fold,0.03,4,10,0.9,0.9,0.1,0.5,5.0,3971.0,3275.0,6550.0,696.0,1323.0,108.0,109.0,0.665234691452706,0.6268702290076336,0.6878994081062856,0.6393492999122623,0.2241652011871338,0.6592303402119353,0.5850340136054422,0.6258563854310742,0.6639657768139775,0.23575975000858307,0.6327759197324415,0.0418362154021914,0.062043022675211335,0.0246164769017152,,,,,,,,,,,,,,,,
random_011,4.0,fold,0.03,4,10,0.9,0.9,0.1,0.5,5.0,5294.0,4367.0,8734.0,927.0,1325.0,77.0,78.0,0.6632273774252483,0.6166704831692237,0.6736646233842694,0.64655653302235,0.2274782955646515,0.668646080760095,0.610566037735849,0.6311068834313386,0.6630154968265424,0.23525114357471466,0.6658031088082902,0.006104445433374628,0.04255773995293077,0.016458963804192317,,,,,,,,,,,,,,,,
random_012,1.0,fold,0.03,5,1,1.0,0.6,1.0,0.5,5.0,1323.0,1091.0,2182.0,232.0,1325.0,73.0,74.0,0.6733332436917157,0.6865261228230981,0.7809110592374573,0.6193192548687289,0.2140396684408188,0.7051724137931035,0.5720754716981132,0.5810203614733471,0.6829476973977834,0.24490900337696075,0.6026629292221444,0.11445065112498487,0.19989069776411017,0.06362844252905453,,,,,,,,,,,,,,,,
random_012,2.0,fold,0.03,5,1,1.0,0.6,1.0,0.5,5.0,2648.0,2185.0,4370.0,463.0,1323.0,43.0,44.0,0.6811000377132878,0.659954233409611,0.718083348647751,0.6446405201553441,0.22617237269878387,0.6874211190576357,0.5993953136810279,0.6229946957589234,0.6668582422122141,0.23705893754959106,0.6553966189856957,0.06055891972858307,0.09508865288882762,0.022217722056870004,,,,,,,,,,,,,,,,
random_012,3.0,fold,0.03,5,1,1.0,0.6,1.0,0.5,5.0,3971.0,3275.0,6550.0,696.0,1323.0,84.0,85.0,0.6715788144147259,0.6540458015267175,0.7197245839397203,0.6298712348286752,0.2194446325302124,0.6915328069697795,0.5714285714285714,0.5971380820654679,0.6754583367279557,0.2412853091955185,0.6171505739365294,0.08261723009814614,0.12258650187425235,0.0455871018992805,,,,,,,,,,,,,,,,
random_012,4.0,fold,0.03,5,1,1.0,0.6,1.0,0.5,5.0,5294.0,4367.0,8734.0,927.0,1325.0,115.0,116.0,0.6683910971963547,0.6446072818868789,0.7134824070890184,0.6259930785093324,0.2179591804742813,0.683265306122449,0.579622641509434,0.6103493600830162,0.6704696168127791,0.23890569806098938,0.6289140572951366,0.06498464037744489,0.10313304700600223,0.04447653830344667,,,,,,,,,,,,,,,,
random_013,1.0,fold,0.05,2,3,0.75,0.9,2.0,0.01,2.0,1323.0,1091.0,2182.0,232.0,1325.0,64.0,65.0,0.666316814463714,0.6049495875343721,0.6456189316282689,0.6633121324375406,0.23540723323822021,0.6521388216303471,0.5856603773584905,0.6065179592770533,0.6748173259399365,0.2409355193376541,0.6293045239702904,0.019289210175881588,0.03910097235121557,0.011505193502395872,,,,,,,,,,,,,,,,
random_013,2.0,fold,0.05,2,3,0.75,0.9,2.0,0.01,2.0,2648.0,2185.0,4370.0,463.0,1323.0,67.0,68.0,0.6721952196460048,0.6082379862700229,0.6445163987908074,0.6604572412414684,0.23406915366649628,0.6471558120362737,0.6069538926681783,0.6244689968267204,0.664195576910016,0.2357724905014038,0.6649484536082474,0.0012840936018445603,0.02004740196408694,0.003738335668547532,,,,,,,,,,,,,,,,
random_013,3.0,fold,0.05,2,3,0.75,0.9,2.0,0.01,2.0,3971.0,3275.0,6550.0,696.0,1323.0,79.0,80.0,0.6628721402850987,0.6131297709923664,0.6515601227942911,0.6566208822963325,0.23227180540561676,0.6634794156706507,0.6016628873771731,0.6329598893499309,0.6637157690262993,0.23561419546604156,0.651685393258427,0.011466883615193324,0.018600233444360237,0.007094886729966721,,,,,,,,,,,,,,,,
random_013,4.0,fold,0.05,2,3,0.75,0.9,2.0,0.01,2.0,5294.0,4367.0,8734.0,927.0,1325.0,87.0,88.0,0.6627883030405065,0.6061369361117472,0.6467799798082587,0.6566278372194172,0.23232270777225494,0.6542018496180136,0.5932075471698113,0.6275786924939467,0.6638057402909905,0.2356290966272354,0.6470203012442698,0.01292938894193596,0.019201287314312032,0.007177903071573288,,,,,,,,,,,,,,,,
