candidate_id,fold,row_type,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,criterion,train_accuracy,train_roc_auc,train_log_loss,train_brier,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,val_accuracy_mean,val_accuracy_std,val_roc_auc_mean,val_roc_auc_std,val_log_loss_mean,val_log_loss_std,val_brier_mean,val_brier_std,val_f1_mean,val_f1_std,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean
random_001,4.0,fold,300,4.0,5,10,1.0,True,gini,0.6133358519078201,0.6508998392227224,0.6534766674775961,0.23093174325206597,0.6067924528301887,0.6328963449786694,0.659290917827187,0.23364077560739352,0.6636539703034215,0.006543399077631462,0.01800349424405301,,,,,,,,,,,,,,
random_002,1.0,fold,300,4.0,20,5,0.5,True,gini,0.6175359032501889,0.6670661575266839,0.6526455893282338,0.23034420409499443,0.5811320754716981,0.6023678792038435,0.6760855742620876,0.24155643306122748,0.6185567010309279,0.03640382777849083,0.06469827832284036,,,,,,,,,,,,,,
random_002,2.0,fold,300,4.0,20,5,0.5,True,gini,0.6125377643504532,0.6545097949259071,0.6562905384082064,0.23212712956118248,0.6046863189720333,0.6277673545966229,0.662157515463275,0.23481939059600296,0.6636655948553055,0.007851445378419863,0.02674244032928419,,,,,,,,,,,,,,
random_002,3.0,fold,300,4.0,20,5,0.5,True,gini,0.6139511458071015,0.6525603879304396,0.6556350761081005,0.23179954921768142,0.6107331821617535,0.6407376671277085,0.6598595497363079,0.23374005437638656,0.6644951140065146,0.0032179636453479876,0.011822720802731057,,,,,,,,,,,,,,
random_002,4.0,fold,300,4.0,20,5,0.5,True,gini,0.6118247072157159,0.6490137233914468,0.6559946568743833,0.23200694621970255,0.6045283018867924,0.6327718205926439,0.6605985217563245,0.23418014725283465,0.6606217616580311,0.007296405328923505,0.016241902798802887,,,,,,,,,,,,,,
random_003,1.0,fold,300,4.0,40,10,1.0,True,gini,0.6228269085411943,0.6657894736842105,0.6518169257358818,0.22997748618865999,0.5728301886792453,0.598185769846717,0.6775584273644698,0.2422683803384704,0.6101928374655647,0.04999671986194898,0.06760370383749348,,,,,,,,,,,,,,
random_003,2.0,fold,300,4.0,40,10,1.0,True,gini,0.6106495468277946,0.6539842065421847,0.6556808141529791,0.23189067306978828,0.6069538926681783,0.6321485650753944,0.6610680491785823,0.2342364120243898,0.6653796653796654,0.0036956541596162573,0.02183564146679029,,,,,,,,,,,,,,
random_003,3.0,fold,300,4.0,40,10,1.0,True,gini,0.6167212289095946,0.6533515793412523,0.6536832038620249,0.23094549568383227,0.6069538926681783,0.640053019824804,0.6590899331621234,0.23337529525142237,0.6618985695708712,0.009767336241416236,0.013298559516448316,,,,,,,,,,,,,,
random_003,4.0,fold,300,4.0,40,10,1.0,True,gini,0.612202493388742,0.650303883007883,0.6537828849091686,0.23107181344965239,0.6060377358490566,0.631971636112072,0.6598498132329028,0.23390755055616122,0.6623544631306598,0.006164757539685373,0.018332246895811033,,,,,,,,,,,,,,
random_004,1.0,fold,300,6.0,5,10,sqrt,True,gini,0.6591080876795162,0.7407503680529997,0.6260297283851305,0.21754320052592127,0.5894339622641509,0.6042393045069778,0.6760088417463042,0.2414895745633806,0.6227461858529819,0.06967412541536533,0.13651106354602183,,,,,,,,,,,,,,
random_004,2.0,fold,300,6.0,5,10,sqrt,True,gini,0.649546827794562,0.7089912029178328,0.6360444742381549,0.22242343028578557,0.6054421768707483,0.632053598313761,0.6616775660163742,0.23458240006923123,0.6645244215938303,0.04410465092381366,0.07693760460407184,,,,,,,,,,,,,,
random_004,3.0,fold,300,6.0,5,10,sqrt,True,gini,0.6444220599345253,0.6975753580744974,0.6383590718369321,0.2235774843346461,0.5986394557823129,0.6415444905486398,0.6610059728599256,0.2342801052687653,0.650887573964497,0.04578260415221236,0.05603086752585762,,,,,,,,,,,,,,
random_004,4.0,fold,300,6.0,5,10,sqrt,True,gini,0.6282584057423498,0.6836885072224628,0.6424488541651986,0.22559319077470336,0.6113207547169811,0.6345935662400553,0.6613315748580407,0.23449361861279927,0.6609611586570112,0.016937651025368705,0.04909494098240752,,,,,,,,,,,,,,
random_005,1.0,fold,300,6.0,20,20,0.5,True,gini,0.6492819349962207,0.725039105631211,0.626983057194962,0.21815114676698566,0.5811320754716981,0.5984831846259437,0.6781171201524222,0.24250998979080937,0.6180316586373021,0.06814985952452257,0.12655592100526725,,,,,,,,,,,,,,
random_005,2.0,fold,300,6.0,20,20,0.5,True,gini,0.6431268882175226,0.7063738702573747,0.6338056451694242,0.2214734004522901,0.6092214663643235,0.6383190883190883,0.6591056829186066,0.23330687279850437,0.6645035691109669,0.033905421853199114,0.0680547819382864,,,,,,,,,,,,,,
random_005,3.0,fold,300,6.0,20,20,0.5,True,gini,0.6406446738856711,0.6954223615153047,0.6348173173627062,0.22209806576677749,0.6054421768707483,0.6413543107422777,0.659220304834711,0.23345705086571672,0.66015625,0.03520249701492284,0.05406805077302701,,,,,,,,,,,,,,
random_005,4.0,fold,300,6.0,20,20,0.5,True,gini,0.6258027956176804,0.684247279106736,0.6382887934041882,0.2238437577970312,0.6022641509433962,0.6371497751643029,0.6583038856366666,0.23314949709904306,0.6557805355976486,0.023538644674284126,0.04709750394243306,,,,,,,,,,,,,,
random_006,1.0,fold,300,8.0,2,20,0.75,True,gini,0.7482993197278912,0.8519104251012146,0.5667994571290823,0.1897059258927968,0.5720754716981132,0.5858544955387783,0.6830078896833002,0.24483326565559094,0.6032190342897131,0.17622384802977797,0.2660559295624363,,,,,,,,,,,,,,
random_006,2.0,fold,300,8.0,2,20,0.75,True,gini,0.7122356495468278,0.8053685713630315,0.5858195846105883,0.19891564512243523,0.5971277399848829,0.6305480277024993,0.6617295570082868,0.23453359941292443,0.6550161812297735,0.11510790956194494,0.17482054366053223,,,,,,,,,,,,,,
