candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,n_train_unique,n_train_augmented,n_inner_fit_unique,n_inner_early_stop,n_val,best_iteration,effective_n_estimators,best_score_inner_early_stop,train_accuracy,train_roc_auc,train_log_loss,train_brier,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,train_val_log_loss_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_recall_mean,val_f1_mean,train_roc_auc_mean,train_log_loss_mean,train_accuracy_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,best_iterations,median_effective_n_estimators,mean_fit_seconds
random_002,3.0,fold,0.015,4,80,0.6,0.85,5.0,0.01,2.0,4545.0,9090.0,3863.0,682.0,1609.0,80.0,81.0,0.6811280060024205,0.6077007700770077,0.6453290759847663,0.667780912731903,0.2374666929244995,0.5854568054692355,0.5901309164149043,0.6926713947990544,0.6373028820010875,0.6276285906385458,0.670663524944565,0.2389092743396759,0.017700485346220485,0.0028826122126620612,0.20149380000657402,,,,,,,,,,,,,,,,,,,
random_002,4.0,fold,0.015,4,80,0.6,0.85,5.0,0.01,2.0,6154.0,12308.0,5230.0,924.0,1608.0,247.0,248.0,0.662488328881594,0.6182970425739357,0.6661218001215997,0.651791157472604,0.22998107969760895,0.5883084577114428,0.603448275862069,0.687066974595843,0.642548596112311,0.6332582185342654,0.6603779175363256,0.2342386245727539,0.03286358158733427,0.00858676006372161,0.4993019999965327,,,,,,,,,,,,,,,,,,,
random_003,1.0,fold,0.015,5,10,0.75,0.85,2.0,0.1,20.0,1221.0,2442.0,1038.0,183.0,1544.0,71.0,72.0,0.6908324197993252,0.6691236691236692,0.7414857173684352,0.6526038422261595,0.22988204658031464,0.5803108808290155,0.5988165680473373,0.6208588957055214,0.6096385542168675,0.6011832327669637,0.6806058529473452,0.2437596172094345,0.14030248460147143,0.02800201072118569,0.12830689999827882,,,,,,,,,,,,,,,,,,,
random_003,2.0,fold,0.015,5,10,0.75,0.85,2.0,0.1,20.0,2765.0,5530.0,2350.0,415.0,1780.0,249.0,250.0,0.6721977429935732,0.6994575045207957,0.7769161873243506,0.6083770394136276,0.2090073972940445,0.5691011235955056,0.5852059925093633,0.6585879873551106,0.6197322756569162,0.5905912741133551,0.6790917379923654,0.24308139085769653,0.18632491321099554,0.0707146985787378,0.5271479000002728,,,,,,,,,,,,,,,,,,,
random_003,3.0,fold,0.015,5,10,0.75,0.85,2.0,0.1,20.0,4545.0,9090.0,3863.0,682.0,1609.0,152.0,153.0,0.6807513258411737,0.6591859185918592,0.7176050605954662,0.6403281755063821,0.22417844831943512,0.5885643256681169,0.592741935483871,0.6950354609929078,0.6398258977149075,0.6256084449525793,0.6684453851509343,0.23789812624454498,0.09199661564288697,0.02811720964455222,0.3844717999963905,,,,,,,,,,,,,,,,,,,
random_003,4.0,fold,0.015,5,10,0.75,0.85,2.0,0.1,20.0,6154.0,12308.0,5230.0,924.0,1608.0,327.0,328.0,0.6632961726291872,0.6789080272993175,0.7429897530740514,0.621072215779344,0.2153552621603012,0.5864427860696517,0.602238046795524,0.6836027713625866,0.6403461330448891,0.6311759616043027,0.6602671306743808,0.23429635167121887,0.11181379146974868,0.03919491489503679,0.8535384000060731,,,,,,,,,,,,,,,,,,,
random_004,1.0,fold,0.015,5,20,1.0,1.0,2.0,0.5,2.0,1221.0,2442.0,1038.0,183.0,1544.0,31.0,32.0,0.6920266679075898,0.6527436527436528,0.7208291748712,0.6649580972443577,0.23596808314323425,0.5705958549222798,0.5892018779342723,0.6159509202453988,0.6022795440911818,0.5971285987191463,0.6841945236606907,0.24553468823432922,0.12370057615205377,0.01923642641633294,0.07111150000127964,,,,,,,,,,,,,,,,,,,
random_004,2.0,fold,0.015,5,20,1.0,1.0,2.0,0.5,2.0,2765.0,5530.0,2350.0,415.0,1780.0,311.0,312.0,0.6685414106371891,0.7142857142857143,0.7973456255088908,0.5936685740025346,0.2023439109325409,0.5662921348314607,0.5838862559241706,0.649104320337197,0.6147704590818364,0.5995170037749534,0.6767013324899877,0.24194195866584778,0.19782862173393734,0.08303275848745306,0.5841270999953849,,,,,,,,,,,,,,,,,,,
random_004,3.0,fold,0.015,5,20,1.0,1.0,2.0,0.5,2.0,4545.0,9090.0,3863.0,682.0,1609.0,267.0,268.0,0.6787003553813853,0.6752475247524753,0.7501323210690531,0.6189103385063851,0.21431298553943634,0.5773772529521441,0.5850409836065574,0.6749408983451537,0.6267837541163557,0.6085789576420066,0.669320018874421,0.23861001431941986,0.1415533634270465,0.05040968036803595,0.6240990000005695,,,,,,,,,,,,,,,,,,,
random_004,4.0,fold,0.015,5,20,1.0,1.0,2.0,0.5,2.0,6154.0,12308.0,5230.0,924.0,1608.0,192.0,193.0,0.6627855977099953,0.6481962950926227,0.7178757996879964,0.6321554180548147,0.22070342302322388,0.5789800995024875,0.5975232198142415,0.6685912240184757,0.6310626702997275,0.622979992903519,0.6641850432019588,0.23618187010288239,0.0948958067844774,0.032029625147144136,0.5416167000003043,,,,,,,,,,,,,,,,,,,
random_005,1.0,fold,0.015,5,40,0.9,0.85,2.0,0.01,2.0,1221.0,2442.0,1038.0,183.0,1544.0,23.0,24.0,0.6881221135457357,0.6273546273546273,0.6808769185121248,0.6778324493075596,0.242356538772583,0.5841968911917098,0.6009334889148191,0.6319018404907976,0.6160287081339713,0.6097418936773629,0.6848506146130983,0.24585816264152527,0.07113502483476197,0.007018165305538671,0.04939800000283867,,,,,,,,,,,,,,,,,,,
random_005,2.0,fold,0.015,5,40,0.9,0.85,2.0,0.01,2.0,2765.0,5530.0,2350.0,415.0,1780.0,324.0,325.0,0.6681853576237897,0.6990958408679928,0.7717757991227379,0.606385977042864,0.2082761526107788,0.5691011235955056,0.5863377609108159,0.6512118018967334,0.6170743884173739,0.5945824282701786,0.6790231339365996,0.243018239736557,0.17719337085255926,0.07263715689373562,0.5685585999963223,,,,,,,,,,,,,,,,,,,
random_005,3.0,fold,0.015,5,40,0.9,0.85,2.0,0.01,2.0,4545.0,9090.0,3863.0,682.0,1609.0,189.0,190.0,0.6797678606950642,0.647964796479648,0.7128490855359946,0.637279982543636,0.22292324900627136,0.5823492852703542,0.587,0.693853427895981,0.6359696641386782,0.6231986776101553,0.6649774281158926,0.23641784489154816,0.08965040792583923,0.027697445572256507,0.4442339999950491,,,,,,,,,,,,,,,,,,,
random_005,4.0,fold,0.015,5,40,0.9,0.85,2.0,0.01,2.0,6154.0,12308.0,5230.0,924.0,1608.0,243.0,244.0,0.6601382993258439,0.6472213194670133,0.7109153005247236,0.6339266899537152,0.22155039012432098,0.5870646766169154,0.6043388429752066,0.6755196304849884,0.6379498364231189,0.6307277628032344,0.6604110614261968,0.2344367504119873,0.08018753772148923,0.026484371472481616,0.6034089999957359,,,,,,,,,,,,,,,,,,,
random_006,1.0,fold,0.015,6,5,0.9,0.5,5.0,0.5,5.0,1221.0,2442.0,1038.0,183.0,1544.0,23.0,24.0,0.6889495370817966,0.6658476658476659,0.7419941736573787,0.6711352495336872,0.2390151023864746,0.5712435233160622,0.5888501742160279,0.6220858895705521,0.6050119331742243,0.6072491942067039,0.6855651392196475,0.24621444940567017,0.13474497945067487,0.014429889685960262,0.05728100000123959,,,,,,,,,,,,,,,,,,,
random_006,2.0,fold,0.015,6,5,0.9,0.5,5.0,0.5,5.0,2765.0,5530.0,2350.0,415.0,1780.0,93.0,94.0,0.6713227118354246,0.6867992766726944,0.7524678906311559,0.634659874671094,0.2212742269039154,0.5752808988764045,0.5878070973612375,0.6807165437302424,0.630859375,0.588552266683912,0.6794300925827467,0.24323372542858124,0.1639156239472439,0.0447702179116527,0.23787689999880968,,,,,,,,,,,,,,,,,,,
random_006,3.0,fold,0.015,6,5,0.9,0.5,5.0,0.5,5.0,4545.0,9090.0,3863.0,682.0,1609.0,138.0,139.0,0.6807016972397779,0.684048404840484,0.7486016356089704,0.6298935590270418,0.2191307693719864,0.584213797389683,0.590030518819939,0.6855791962174941,0.6342263531984691,0.621070088520801,0.6680826391583906,0.23776042461395264,0.12753154708816938,0.03818908013134881,0.3829501000000164,,,,,,,,,,,,,,,,,,,
random_006,4.0,fold,0.015,6,5,0.9,0.5,5.0,0.5,5.0,6154.0,12308.0,5230.0,924.0,1608.0,355.0,356.0,0.6631881200518959,0.6915827104322392,0.7621809928031392,0.614640402232092,0.21225912868976593,0.5851990049751243,0.601427115188583,0.6812933025404158,0.6388738494856524,0.6314164015861258,0.6607716056593878,0.23449325561523438,0.13076459121701345,0.04613120342729571,0.765159800001129,,,,,,,,,,,,,,,,,,,
random_007,1.0,fold,0.015,6,40,0.75,1.0,0.0,0.0,20.0,1221.0,2442.0,1038.0,183.0,1544.0,35.0,36.0,0.6908903975304359,0.6191646191646192,0.6653197744989615,0.6781386938871211,0.2425110936164856,0.5822538860103627,0.5986078886310905,0.6331288343558282,0.6153846153846154,0.6063840709603037,0.6843493538210935,0.2456086277961731,0.058935703538657847,0.006210659933972407,0.06206920000113314,,,,,,,,,,,,,,,,,,,
random_007,2.0,fold,0.015,6,40,0.75,1.0,0.0,0.0,20.0,2765.0,5530.0,2350.0,415.0,1780.0,315.0,316.0,0.6701822540846216,0.7012658227848101,0.7702405904446721,0.6079556491005565,0.20893828570842743,0.5668539325842696,0.5859073359073359,0.6396206533192834,0.6115869017632242,0.5893168944699532,0.6807684959689161,0.24384725093841553,0.1809236959747189,0.07281284686835954,0.7275141999998596,,,,,,,,,,,,,,,,,,,
random_007,3.0,fold,0.015,6,40,0.75,1.0,0.0,0.0,20.0,4545.0,9090.0,3863.0,682.0,1609.0,167.0,168.0,0.681218538247595,0.658965896589659,0.7196871972705886,0.6382443631864377,0.22320444881916046,0.5798632691112492,0.5865580448065173,0.6808510638297872,0.6301969365426696,0.6203621080158266,0.6683719377889833,0.2379174679517746,0.09932508925476202,0.03012757460254556,0.49377130000357283,,,,,,,,,,,,,,,,,,,
random_007,4.0,fold,0.015,6,40,0.75,1.0,0.0,0.0,20.0,6154.0,12308.0,5230.0,924.0,1608.0,262.0,263.0,0.6615494501764898,0.6667208319792005,0.7313336163946575,0.627529568722193,0.2183350771665573,0.5876865671641791,0.6056191467221644,0.6720554272517321,0.6371100164203612,0.6313915016527332,0.6609184962747426,0.23455555737018585,0.09994211474192438,0.03338892755254963,0.8255656000037561,,,,,,,,,,,,,,,,,,,
random_008,1.0,fold,0.015,6,80,0.9,0.7,0.5,0.5,1.0,1221.0,2442.0,1038.0,183.0,1544.0,31.0,32.0,0.6883406753097076,0.5888615888615889,0.627221967469587,0.6817529052579749,0.24431388080120087,0.5744818652849741,0.5938242280285035,0.6134969325153374,0.6035003017501509,0.6035539060987822,0.6839735900354766,0.2454233318567276,0.023668061370804794,0.0022206847775017025,0.042475599999306723,,,,,,,,,,,,,,,,,,,
random_008,2.0,fold,0.015,6,80,0.9,0.7,0.5,0.5,1.0,2765.0,5530.0,2350.0,415.0,1780.0,347.0,348.0,0.6722058054912521,0.6773960216998192,0.7443369316838705,0.6187587503614508,0.21412302553653717,0.5735955056179776,0.5891181988742964,0.6617492096944152,0.6233250620347395,0.5950097575635382,0.6795123679094403,0.2432035356760025,0.14932717412033225,0.06075361754798947,0.609343699994497,,,,,,,,,,,,,,,,,,,
random_008,3.0,fold,0.015,6,80,0.9,0.7,0.5,0.5,1.0,4545.0,9090.0,3863.0,682.0,1609.0,124.0,125.0,0.6802266411854725,0.6393839383938393,0.6870351991543896,0.6510029385043586,0.22936278581619263,0.5798632691112492,0.5855130784708249,0.6879432624113475,0.6326086956521739,0.620098745464742,0.6684782810035417,0.23796112835407257,0.06693645368964762,0.017475342499183033,0.3229157999958261,,,,,,,,,,,,,,,,,,,
