model,subgroup,row_type,fold,n,v3_accuracy,v4_accuracy,delta_accuracy,v3_roc_auc,v4_roc_auc,delta_roc_auc,v3_log_loss,v4_log_loss,delta_log_loss,v3_brier,v4_brier,delta_brier,v3_f1,v4_f1,delta_f1,n_v3,n_v4,reliable_sample_size,delta_accuracy_pp,v3_correct,v4_correct,delta_correct
xgb,coverage_rich,fold,1,895.0,0.5687150837988827,0.5843575418994413,0.015642458100558643,0.5892015018773467,0.5941326658322903,0.00493116395494364,0.6809533999629079,0.6781697182884442,-0.002783681674463745,0.2439367175102234,0.24264784157276154,-0.001288875937461853,0.6147704590818364,0.6257545271629779,0.010984068081141496,,,,,,,
xgb,coverage_rich,fold,2,818.0,0.5794621026894865,0.5757946210268948,-0.003667481662591676,0.6092706080269166,0.6036830088920933,-0.005587599134823318,0.6721569259304497,0.6739010695681569,0.0017441436377071406,0.239664688706398,0.24058687686920166,0.0009221881628036499,0.6348195329087049,0.6207650273224044,-0.014054505586300503,,,,,,,
xgb,coverage_rich,fold,3,872.0,0.6215596330275229,0.625,0.0034403669724770714,0.6548945335710042,0.6615896358543417,0.006695102283337473,0.654015048829415,0.651167211521546,-0.0028478373078689723,0.23096071183681488,0.22963421046733856,-0.0013265013694763184,0.6826923076923077,0.6809756097560976,-0.0017166979362100987,,,,,,,
xgb,coverage_rich,fold,4,934.0,0.6102783725910065,0.6177730192719486,0.00749464668094213,0.6509071529531709,0.6509720323470121,6.487939384114405e-05,0.6519926756993312,0.6513115503788127,-0.0006811253205184498,0.23023734986782074,0.22996017336845398,-0.00027717649936676025,0.6617100371747212,0.6691380908248378,0.007428053650116562,,,,,,,
xgb,coverage_rich,fold_agg_mean,mean,879.75,0.5950037980267247,0.6007312955495712,0.005727497522846542,0.6260684491071096,0.6275943357314343,0.0015258866243247349,0.6647795126055259,0.6636373874392401,-0.0011421251662860066,0.23619986698031425,0.23570727556943893,-0.0004925914108753204,0.6484980842143925,0.6491583137665794,0.000660229552186864,,,,,,,
xgb,cold_start,fold,1,343.0,0.6443148688046647,0.6326530612244898,-0.011661807580174877,0.6723319473319473,0.6695599445599447,-0.002772002772002624,0.6529860836140301,0.6554557885900669,0.002469704976036824,0.23029173910617828,0.23142309486865997,0.0011313557624816895,0.6839378238341969,0.6818181818181818,-0.002119642016015111,,,,,,,
xgb,cold_start,fold,2,335.0,0.6776119402985075,0.6925373134328359,0.014925373134328401,0.7242312285415733,0.7212083893118376,-0.0030228392297356743,0.6224130865668727,0.618657191621919,-0.0037558949449536527,0.21557928621768951,0.21385343372821808,-0.0017258524894714355,0.7403846153846154,0.7599067599067599,0.019522144522144513,,,,,,,
xgb,cold_start,fold,3,394.0,0.5609137055837563,0.565989847715736,0.005076142131979711,0.5964475604670558,0.5942842994161802,-0.002163261050875609,0.6710610431675148,0.6737154812202446,0.0026544380527298017,0.23924589157104492,0.24047154188156128,0.0012256503105163574,0.6164079822616408,0.6157303370786517,-0.0006776451829891839,,,,,,,
xgb,cold_start,fold,4,314.0,0.5923566878980892,0.6050955414012739,0.01273885350318471,0.641983695652174,0.6483860342555995,0.006402338603425539,0.6618734847320129,0.6573224468900887,-0.0045510378419242326,0.23434112966060638,0.2322763055562973,-0.002064824104309082,0.6595744680851063,0.6612021857923497,0.001627717707243348,,,,,,,
xgb,cold_start,fold_agg_mean,mean,346.5,0.6187993006462544,0.6240689409435839,0.0052696402973294865,0.6587486079981876,0.6583596668858905,-0.00038894111229709205,0.6520834245201077,0.6512877270805798,-0.0007956974395278149,0.22986451163887978,0.22950609400868416,-0.0003584176301956177,0.6750762223913899,0.6796643661489858,0.004588143757595892,,,,,,,
