model,fold,family,family_label,n_features,auc_decrease_mean,auc_decrease_std,row_type,auc_decrease_fold_std
xgboost,4.0,D,map-pool confidence,10,6.536232515508278e-06,0.00010836165577802183,fold,
xgboost,4.0,E,opponent-strength / residual form,5,0.009612852723118936,0.0036242210512355062,fold,
xgboost,4.0,F,time-decayed form,3,0.0004903730632520364,0.000898496333813391,fold,
xgboost,4.0,G,form confidence,4,-7.283230517364236e-05,6.460876000256442e-05,fold,
xgboost,4.0,H,player performance,10,0.005846659985184488,0.004221084046605572,fold,
xgboost,4.0,I,roster stability,4,3.112491674028828e-06,6.31460052559909e-05,fold,
xgboost,4.0,J,roster / player confidence,7,0.0,0.0,fold,
xgboost,4.0,K,map-specific historical strength (selected map),14,0.003048374345598559,0.0028308060699407563,fold,
xgboost,4.0,L,categorical map / bestOf / tier context,14,-0.00015764770329247392,0.0001818968468227479,fold,
random_forest,,B,map-pool depth and order statistics,14,0.011943950617588798,,aggregate,0.005011077557355776
random_forest,,E,opponent-strength / residual form,5,0.009324781754838082,,aggregate,0.0036476041070843002
random_forest,,H,player performance,10,0.007192299550593781,,aggregate,0.005650473695119808
random_forest,,A,original series V1 (ELO / win rate / activity),15,0.003628162956193132,,aggregate,0.001344647019300143
random_forest,,K,map-specific historical strength (selected map),14,0.0031887028707878297,,aggregate,0.0014324351994664238
random_forest,,C,same-map matchup advantage,6,0.0018731353010973506,,aggregate,0.0015534382465383482
random_forest,,F,time-decayed form,3,0.001297323059207925,,aggregate,0.00233681212197534
random_forest,,J,roster / player confidence,7,0.0008048881253607893,,aggregate,0.0007677062534942199
random_forest,,I,roster stability,4,0.0007461512655389524,,aggregate,0.0011415185676584717
random_forest,,L,categorical map / bestOf / tier context,14,2.322559607781383e-06,,aggregate,9.322766481663803e-05
random_forest,,D,map-pool confidence,10,-1.8051672757915532e-05,,aggregate,0.00038375477564376567
random_forest,,G,form confidence,4,-0.00021904518149619133,,aggregate,0.00047081692913682796
xgboost,,B,map-pool depth and order statistics,14,0.012594089662212826,,aggregate,0.006461643780987898
xgboost,,E,opponent-strength / residual form,5,0.012429397584597162,,aggregate,0.003750489355984806
xgboost,,H,player performance,10,0.011401088260110668,,aggregate,0.006210200376620258
xgboost,,A,original series V1 (ELO / win rate / activity),15,0.009279194747698102,,aggregate,0.004576800576713916
xgboost,,K,map-specific historical strength (selected map),14,0.0018217343980604038,,aggregate,0.001449976303511227
xgboost,,F,time-decayed form,3,0.0017011667577662508,,aggregate,0.003453041767070486
xgboost,,C,same-map matchup advantage,6,0.0009791337032883456,,aggregate,0.0008701616996993109
xgboost,,D,map-pool confidence,10,6.813534876187188e-05,,aggregate,5.9291758446695204e-05
xgboost,,I,roster stability,4,4.9047212033873084e-05,,aggregate,0.00015175925917508453
xgboost,,L,categorical map / bestOf / tier context,14,1.968972902323118e-05,,aggregate,0.00016247066025038852
xgboost,,G,form confidence,4,-2.3074610190798588e-06,,aggregate,0.00014874472761603963
xgboost,,J,roster / player confidence,7,-0.0004752462266317065,,aggregate,0.0006627925628234163
