lambda,fold,row_type,unique_fold_train_matches,augmented_fold_train_observations,fold_validation_matches,iterations_run,converged,converged_by,initial_cost,final_cost,relative_cost_decrease,final_relative_improvement,final_gradient_norm,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,train_val_log_loss_gap,coef_l2_norm,coef_abs_sum,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_f1_mean,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,mean_iterations,median_iterations,all_folds_converged,n_folds_converged,mean_final_gradient_norm,mean_coef_l2_norm
0.1,4.0,fold,5294.0,10588.0,1325.0,11800.0,True,relative_cost_plateau,0.6927036692463296,0.6663111853409094,0.03810068442994624,9.564141037234955e-08,0.0002513465269963251,0.5927465054778995,0.6209994658977973,0.6663101947112011,0.23699254354985383,0.6424543946932006,0.6075471698113207,0.6354087397670933,0.6614550571240697,0.23451410600344003,0.6578947368421053,-0.014800664333421198,-0.014409273869296024,-0.004855137587131408,0.4580128240744588,0.9200303961139742,,,,,,,,,,,,,,,,,,,
0.5,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.692876870912792,0.6741279149794733,0.02705957828931271,1.5692965824754178e-06,0.0010274004296997616,0.5842781557067271,0.6096061832903937,0.6741116088560958,0.24056181454800757,0.6283783783783784,0.5645283018867925,0.590043468313887,0.6921048233675613,0.2480687896997246,0.6114478114478115,0.01974985381993466,0.019562714976506745,0.017993214511465516,0.4154323167832286,1.173181606205449,,,,,,,,,,,,,,,,,,,
0.5,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446143656092,0.6719639517327434,0.029997580929439646,8.285632055267905e-07,0.0007450832486775179,0.5789274924471299,0.6115609372849475,0.6719549779514389,0.2395827543120925,0.6216491347132678,0.6016628873771731,0.625336437125055,0.6630286122861567,0.23522807868789447,0.6649713922441195,-0.022735394930043173,-0.013775499840107508,-0.008926365665282154,0.43600525587981265,1.061311169160043,,,,,,,,,,,,,,,,,,,
0.5,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070394651507,0.6679002318519841,0.035811398181142005,1.0111518395939883e-06,0.000820587987065883,0.5880130949383027,0.6190157123892064,0.6678929310272066,0.23765827293063224,0.637089618456078,0.6016628873771731,0.6255198248040572,0.6682039987599,0.2374463734031013,0.6588996763754046,-0.013649792438870434,-0.006504112414850827,0.00031106773269340415,0.48159381384329697,1.0672236890518163,,,,,,,,,,,,,,,,,,,
0.5,4.0,fold,5294.0,10588.0,1325.0,11800.0,True,relative_cost_plateau,0.6927036693305952,0.6663151816586678,0.038094915387742054,9.479563386576008e-08,0.00025022876094091864,0.5927465054778995,0.6209964451204593,0.6663102332495002,0.23699256020714515,0.6424543946932006,0.6075471698113207,0.6353972097313502,0.661451244089807,0.2345126781013423,0.6578947368421053,-0.014800664333421198,-0.014400764610890904,-0.004858989159693183,0.45779364899784514,0.919380026570803,,,,,,,,,,,,,,,,,,,
1.0,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.6928768711695948,0.6741486159802318,0.027029701767572717,1.4552276286847877e-06,0.0009892772636002772,0.5850340136054422,0.6096705925653294,0.6741165052666028,0.24056410477435153,0.6293045239702904,0.5645283018867925,0.5901235415236787,0.6920577881158042,0.24804903008639656,0.6114478114478115,0.020505711718649677,0.019547051041650665,0.01794128284920138,0.4122255408444576,1.1637477282369213,,,,,,,,,,,,,,,,,,,
1.0,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446145568293,0.6719741852199672,0.02998280881642022,7.978946625852862e-07,0.0007311347313346979,0.5789274924471299,0.6115322636142588,0.6719563566301601,0.23958353201945448,0.6219057307561885,0.6016628873771731,0.6253410696500128,0.6630231531262303,0.23522631053345167,0.6649713922441195,-0.022735394930043173,-0.013808806035753962,-0.008933203503929787,0.4345577329165715,1.0566207349799537,,,,,,,,,,,,,,,,,,,
1.0,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070396045387,0.6679085526266242,0.03579938640737909,9.86030772066427e-07,0.0008103098675903852,0.5880130949383027,0.6190136676367313,0.667894006547479,0.23765885228781683,0.637089618456078,0.6016628873771731,0.625515214384509,0.6681930948586897,0.2374419169623955,0.6588996763754046,-0.013649792438870434,-0.006501546747777698,0.00029908831121072676,0.48067652443642067,1.0650581217509318,,,,,,,,,,,,,,,,,,,
1.0,4.0,fold,5294.0,10588.0,1325.0,11700.0,True,relative_cost_plateau,0.6927036694359272,0.6663202338584416,0.03808762208372559,9.543727571427395e-08,0.0002510315431775431,0.5931242916509256,0.6210150013241074,0.6663103515623952,0.23699261043444286,0.6427860696517413,0.6075471698113207,0.6353879857027558,0.6614456815560829,0.2345105337160649,0.6578947368421053,-0.014422878160395114,-0.014372984378648423,-0.004864670006312299,0.4574576494915057,0.9183254130207431,,,,,,,,,,,,,,,,,,,
2.0,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.6928768716832007,0.6741884906631044,0.026972153038817333,1.2513649413310042e-06,0.0009172225585473548,0.5857898715041572,0.6098224144276776,0.6741261658184122,0.2405686307105365,0.6297297297297297,0.5645283018867925,0.5902036147334706,0.6919649726780098,0.24801013439555922,0.6114478114478115,0.021261569617364695,0.01961879969420699,0.0178388068595976,0.40609301773784257,1.1455224076223272,,,,,,,,,,,,,,,,,,,
2.0,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446149392696,0.671994360088824,0.029953686254587168,7.399217756476449e-07,0.0007040163707726165,0.5789274924471299,0.6115230880396385,0.6719591680955199,0.2395851108312036,0.6219057307561885,0.6016628873771731,0.6253457021749704,0.6630125280965654,0.23522289203892305,0.6649713922441195,-0.022735394930043173,-0.013822614135331923,-0.008946639998954509,0.43171379007206134,1.0473853670240185,,,,,,,,,,,,,,,,,,,
2.0,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070398833147,0.6679250488440519,0.03577557266263282,9.376458206709871e-07,0.0007901382938272738,0.5877612692017125,0.6189837631317838,0.6678961755960283,0.2376600193642906,0.6367872198801864,0.6016628873771731,0.6255152143845091,0.6681714860560797,0.23743309247107633,0.6588996763754046,-0.01390161817546065,-0.006531451252725251,0.00027531046005135895,0.4788646320234991,1.060765099248753,,,,,,,,,,,,,,,,,,,
2.0,4.0,fold,5294.0,10588.0,1325.0,11600.0,True,relative_cost_plateau,0.6927036696465911,0.6663302553510881,0.038073155161655756,9.511601423075633e-08,0.00025055955849587127,0.5933131847374387,0.6210290982850184,0.6663105432560938,0.23699269337010537,0.643011109268778,0.6075471698113207,0.6353856796956071,0.6614354165825013,0.2345066288897484,0.6578947368421053,-0.014233985073882072,-0.014356581410588709,-0.004875126673592578,0.45684971467796004,0.9164610773436155,,,,,,,,,,,,,,,,,,,
