canonical_model_name,display_name,stage,record,count,unconditional_probability,unconditional_mc_standard_error,unconditional_mc_ci95_low,unconditional_mc_ci95_high,conditional_on_participating_probability,conditional_on_participating_denominator,conditional_mc_standard_error,conditional_mc_ci95_low,conditional_mc_ci95_high
Heroic,HEROIC,stage_3,1-3,3137,0.06274,0.0010844693854600046,0.06061444000449839,0.06486555999550161,0.29372659176029964,10680,0.00440729818053762,0.2850882873264459,0.30236489619415335
Heroic,HEROIC,stage_3,0-3,2613,0.05226,0.0009952777742921822,0.05030925556238732,0.05421074443761268,0.2446629213483146,10680,0.004159765553859174,0.23650978086275062,0.2528160618338786
BetBoom Team,BetBoom Team,stage_1,3-0,14537,0.29074,0.002030813888075419,0.2867596047793722,0.2947203952206278,0.29074,50000,0.002030813888075419,0.2867596047793722,0.2947203952206278
BetBoom Team,BetBoom Team,stage_1,3-1,14882,0.29764,0.002044751478297546,0.2936322871025368,0.3016477128974632,0.29764,50000,0.002044751478297546,0.2936322871025368,0.3016477128974632
BetBoom Team,BetBoom Team,stage_1,3-2,10295,0.2059,0.0018083428325403345,0.20235564804822095,0.20944435195177905,0.2059,50000,0.0018083428325403345,0.20235564804822095,0.20944435195177905
BetBoom Team,BetBoom Team,stage_1,2-3,5367,0.10734,0.0013843274497025624,0.10462671819858298,0.11005328180141703,0.10734,50000,0.0013843274497025624,0.10462671819858298,0.11005328180141703
BetBoom Team,BetBoom Team,stage_1,1-3,3493,0.06986,0.0011399963192923036,0.06762560721418709,0.07209439278581292,0.06986,50000,0.0011399963192923036,0.06762560721418709,0.07209439278581292
BetBoom Team,BetBoom Team,stage_1,0-3,1426,0.02852,0.0007444005588391239,0.02706097490467532,0.02997902509532468,0.02852,50000,0.0007444005588391239,0.02706097490467532,0.02997902509532468
BetBoom Team,BetBoom Team,stage_2,3-0,6447,0.12894,0.0014987626656679167,0.1260024251752909,0.1318775748247091,0.16233570025683638,39714,0.0018504195449394376,0.1587088779487551,0.16596252256491767
BetBoom Team,BetBoom Team,stage_2,3-1,10240,0.2048,0.001804754609358292,0.20126268096565775,0.20833731903434227,0.2578435816085008,39714,0.0021950987917493912,0.25354118797667197,0.2621459752403296
BetBoom Team,BetBoom Team,stage_2,3-2,9194,0.18388,0.0017324442016988597,0.18048440936467022,0.18727559063532975,0.2315052626277887,39714,0.0021165526059757646,0.2273568195200762,0.2356537057355012
BetBoom Team,BetBoom Team,stage_2,2-3,6202,0.12404,0.0014741375675288925,0.12115069036764337,0.12692930963235663,0.15616659112655487,39714,0.0018215898907635885,0.15259627494065825,0.1597369073124515
BetBoom Team,BetBoom Team,stage_2,1-3,5015,0.1003,0.0013434277799718151,0.09766688155125525,0.10293311844874475,0.1262778868912726,39714,0.001666780845463596,0.12301099643416394,0.12954477734838124
BetBoom Team,BetBoom Team,stage_2,0-3,2616,0.05232,0.0009958174290501246,0.050368197839061754,0.05427180216093824,0.06587097748904669,39714,0.0012447400720422643,0.06343128694784385,0.06831066803024953
BetBoom Team,BetBoom Team,stage_3,3-0,2352,0.04704,0.0009468604796906458,0.04518415345980633,0.04889584654019367,0.0908774776863336,25881,0.0017866883862336174,0.08737556844931571,0.09437938692335149
BetBoom Team,BetBoom Team,stage_3,3-1,4748,0.09496,0.0013110499487052354,0.09239034210053775,0.09752965789946226,0.18345504424094897,25881,0.002405826767159397,0.17873962377731656,0.18817046470458137
BetBoom Team,BetBoom Team,stage_3,3-2,5469,0.10938,0.0013958224500272233,0.10664418799794664,0.11211581200205337,0.21131331865074765,25881,0.002537611667079364,0.2063395997832721,0.2162870375182232
BetBoom Team,BetBoom Team,stage_3,2-3,5266,0.10532,0.0013727905710631903,0.10262933048071614,0.10801066951928386,0.20346972682662956,25881,0.0025024218175069292,0.19856498006431597,0.20837447358894315
BetBoom Team,BetBoom Team,stage_3,1-3,4953,0.09906,0.001336017338210848,0.09644140601710674,0.10167859398289325,0.1913759128318071,25881,0.00244526790809657,0.18658318773193783,0.19616863793167638
BetBoom Team,BetBoom Team,stage_3,0-3,3093,0.06186,0.0010773424747961995,0.05974840874939945,0.06397159125060055,0.11950851976353309,25881,0.0020163758452483808,0.11555642310684626,0.12346061642021992
