canonical_model_name,display_name,playoff_seed,count,unconditional_probability,unconditional_mc_standard_error,conditional_on_reaching_playoffs_probability,conditional_on_reaching_playoffs_denominator,conditional_mc_standard_error,conditional_mc_ci95_low,conditional_mc_ci95_high
Heroic,HEROIC,1,215,0.0043,0.0002926263829527338,0.0817490494296578,2630,0.005342495619795161,0.07127775801485928,0.09222034084445632
Heroic,HEROIC,2,161,0.00322,0.00025336264918097143,0.06121673003802281,2630,0.004674550546763712,0.05205461096636593,0.07037884910967969
Heroic,HEROIC,3,310,0.0062,0.00035104301730699616,0.11787072243346007,2630,0.006287691374722083,0.1055468473390048,0.13019459752791535
Heroic,HEROIC,4,252,0.00504,0.000316689071488108,0.09581749049429658,2630,0.0057394803427172755,0.08456810902257073,0.10706687196602244
Heroic,HEROIC,5,285,0.0057,0.00033667521441294127,0.10836501901140684,2630,0.00606122255691334,0.0964850227998567,0.12024501522295698
Heroic,HEROIC,6,440,0.0088,0.0004176735567401892,0.16730038022813687,2630,0.007278045610611135,0.15303541083133904,0.1815653496249347
Heroic,HEROIC,7,499,0.00998,0.000444531204753952,0.1897338403041825,2630,0.007645543699382478,0.17474857465339283,0.20471910595497217
Heroic,HEROIC,8,468,0.00936,0.00043063651494038447,0.1779467680608365,2630,0.007457910180313217,0.1633292641074226,0.19256427201425041
BetBoom Team,BetBoom Team,1,1319,0.02638,0.0007167160609334774,0.10494072718593364,12569,0.002733679334189306,0.0995827156909226,0.11029873868094468
BetBoom Team,BetBoom Team,2,1033,0.02066,0.0006361315021282942,0.08218633145039382,12569,0.0024497778020845626,0.07738476695830808,0.08698789594247956
BetBoom Team,BetBoom Team,3,1706,0.03412,0.0008118599090976225,0.13573076617073754,12569,0.00305501476703199,0.12974293722735483,0.14171859511412024
BetBoom Team,BetBoom Team,4,1530,0.0306,0.0007702420398809714,0.12172806110271303,12569,0.002916483291669427,0.11601175385104096,0.1274443683543851
BetBoom Team,BetBoom Team,5,1512,0.03024,0.0007658399623942328,0.12029596626621052,12569,0.0029016395425467056,0.11460875276281897,0.12598317976960205
BetBoom Team,BetBoom Team,6,1723,0.03446,0.0008157512905291661,0.1370833001829899,12569,0.003067795099891268,0.13107042178720302,0.14309617857877677
BetBoom Team,BetBoom Team,7,1846,0.03692,0.0008432901469838243,0.14686928156575701,12569,0.0031573513436438196,0.14068087293221512,0.1530576901992989
BetBoom Team,BetBoom Team,8,1900,0.038,0.000855055553750749,0.15116556607526455,12569,0.0031951229058295428,0.14490312517983864,0.15742800697069045
BIG,BIG,1,705,0.0141,0.000527279622211972,0.08941027266962587,7885,0.0032133219014683916,0.08311216174274783,0.09570838359650391
BIG,BIG,2,572,0.01144,0.0004755865094806622,0.0725428027901078,7885,0.0029210786776284873,0.06681748858195596,0.07826811699825964
BIG,BIG,3,1036,0.02072,0.0006370350320037353,0.13138871274571973,7885,0.0038044415338849107,0.1239320073393053,0.13884541815213416
BIG,BIG,4,934,0.01868,0.0006054924871540521,0.11845275840202917,7885,0.003639104575158352,0.1113201134347188,0.12558540336933954
BIG,BIG,5,901,0.01802,0.0005948996486803468,0.11426759670259988,7885,0.0035827125443153975,0.1072454801157417,0.12128971328945806
BIG,BIG,6,1191,0.02382,0.000681947323478874,0.15104629042485732,7885,0.004032702535110071,0.14314219345604157,0.15895038739367306
BIG,BIG,7,1279,0.02558,0.0007060547230916312,0.16220672162333544,7885,0.0041514710181943274,0.15406983842767455,0.17034360481899632
BIG,BIG,8,1267,0.02534,0.0007028212347389626,0.1606848446417248,7885,0.00413570109001138,0.1525788705053025,0.1687908187781471
M80,M80,1,101,0.00202,0.00020079440231241506,0.06571242680546518,1537,0.006320145922522589,0.05332494079732091,0.07809991281360945
M80,M80,2,91,0.00182,0.00019061414428105802,0.05920624593363696,1537,0.006019966041102969,0.04740711249307514,0.07100537937419878
M80,M80,3,166,0.00332,0.00025725386683196817,0.10800260247234873,1537,0.007917024158321979,0.09248523512203766,0.12351996982265981
M80,M80,4,154,0.00308,0.000247810960209592,0.10019518542615485,1537,0.007658798599944866,0.08518394017026291,0.11520643068204679
M80,M80,5,187,0.00374,0.00027298397022535955,0.12166558230318802,1537,0.008338287902429123,0.10532253801442695,0.1380086265919491
M80,M80,6,271,0.00542,0.0003283480957764184,0.17631750162654522,1537,0.009720546833361259,0.15726522983315716,0.19536977341993328
M80,M80,7,254,0.00508,0.0003179368993998652,0.1652569941444372,1537,0.00947369470517217,0.14668855252229976,0.18382543576657465
M80,M80,8,313,0.00626,0.0003527268745077415,0.2036434612882238,1537,0.010271930597803893,0.18351047731652817,0.22377644525991944
MIBR,MIBR,1,197,0.00394,0.00028015982581376653,0.07408800300864987,2659,0.00507925049250045,0.06413267204334899,0.08404333397395075
MIBR,MIBR,2,180,0.0036,0.00026784473114101014,0.06769462203836028,2659,0.004871884794019585,0.0581457278420819,0.07724351623463867
MIBR,MIBR,3,325,0.0065,0.00035938141298625894,0.12222640090259496,2659,0.0063520601267977594,0.10977636305407135,0.13467643875111857
MIBR,MIBR,4,288,0.00576,0.0003384323388803145,0.10831139526137645,2659,0.006026768571966989,0.09649892886032116,0.12012386166243175
MIBR,MIBR,5,303,0.00606,0.00034708144289201056,0.11395261376457315,2659,0.00616213844372407,0.10187482241487397,0.12603040511427233
MIBR,MIBR,6,448,0.00896,0.0004214194679888436,0.16848439262880782,2659,0.007258650273079587,0.15425743809357184,0.1827113471640438
MIBR,MIBR,7,420,0.0084,0.00040815291252176557,0.15795411808950732,2659,0.007072520028373107,0.14409197883389604,0.1718162573451186
MIBR,MIBR,8,498,0.00996,0.0004440900449233241,0.18728845430613011,2659,0.007565968848364563,0.17245915536333556,0.20211775324892467
Sinners Esports,SINNERS Esports,1,367,0.00734,0.00038173614971600476,0.08700806069227122,4218,0.004339702200487319,0.07850224437931608,0.09551387700522637
Sinners Esports,SINNERS Esports,2,249,0.00498,0.0003148078652130534,0.05903271692745377,4218,0.003628944780892044,0.051919985156905366,0.06614544869800218
Sinners Esports,SINNERS Esports,3,480,0.0096,0.00043606971919636883,0.11379800853485064,4218,0.0048896796171873065,0.10421423648516352,0.12338178058453776
Sinners Esports,SINNERS Esports,4,484,0.00968,0.00043786522127248244,0.11474632527264106,4218,0.004907383230688882,0.10512785414049085,0.12436479640479127
Sinners Esports,SINNERS Esports,5,499,0.00998,0.000444531204753952,0.11830251303935514,4218,0.0049728286956809645,0.10855576879582045,0.12804925728288982
Sinners Esports,SINNERS Esports,6,680,0.0136,0.000517977605693528,0.16121384542437173,4218,0.005662047488408291,0.15011623234709148,0.17231145850165197
Sinners Esports,SINNERS Esports,7,704,0.01408,0.0005269108767144592,0.16690374585111428,4218,0.005741526121831795,0.15565035465232396,0.1781571370499046
Sinners Esports,SINNERS Esports,8,755,0.0151,0.0005453804176902577,0.17899478425794216,4218,0.005902552498675422,0.16742578136053832,0.190563787155346
