stage,round,best_of,team_a,team_b,times_matchup_occurred,fraction_of_simulations,model_probability_team_a,team_a_win_count,team_b_win_count
playoffs,1,3,B8 Esports,Astralis,62,0.00124,0.4269072040341774,24,38
playoffs,1,3,B8 Esports,Aurora Gaming,140,0.0028,0.43949996981570233,48,92
playoffs,1,3,B8 Esports,BIG,38,0.00076,0.4142242887608662,14,24
playoffs,1,3,B8 Esports,BetBoom Team,58,0.00116,0.4293850333473114,23,35
playoffs,1,3,B8 Esports,FURIA Esports,144,0.00288,0.41260603153391645,55,89
playoffs,1,3,B8 Esports,FUT Esports,79,0.00158,0.4604108759983845,37,42
playoffs,1,3,B8 Esports,FlyQuest,16,0.00032,0.5412965123339257,8,8
playoffs,1,3,B8 Esports,G2 Esports,70,0.0014,0.42791994019186497,30,40
playoffs,1,3,B8 Esports,Gaimin Gladiators,1,2e-05,0.6496733776869456,1,0
playoffs,1,3,B8 Esports,GamerLegion,46,0.00092,0.43056744305341565,18,28
playoffs,1,3,B8 Esports,Heroic,14,0.00028,0.562859315908329,8,6
playoffs,1,3,B8 Esports,Legacy,75,0.0015,0.428163771525396,35,40
playoffs,1,3,B8 Esports,Lynn Vision Gaming,4,8e-05,0.6116229891964454,1,3
playoffs,1,3,B8 Esports,M80,11,0.00022,0.602868856263219,8,3
playoffs,1,3,B8 Esports,MIBR,10,0.0002,0.573220578674987,4,6
playoffs,1,3,B8 Esports,MOUZ,151,0.00302,0.2995723979996666,47,104
playoffs,1,3,B8 Esports,Monte,36,0.00072,0.559496033270737,16,20
playoffs,1,3,B8 Esports,Natus Vincere,170,0.0034,0.35286898351296453,57,113
playoffs,1,3,B8 Esports,PARIVISION,103,0.00206,0.4542925484794543,59,44
playoffs,1,3,B8 Esports,Sharks Esports,2,4e-05,0.6010319125449196,1,1
playoffs,1,3,B8 Esports,Sinners Esports,33,0.00066,0.5106324095658693,15,18
playoffs,1,3,B8 Esports,THUNDERdOWNUNDER,1,2e-05,0.7046213837991793,1,0
playoffs,1,3,B8 Esports,TYLOO,6,0.00012,0.6000769499851971,4,2
playoffs,1,3,B8 Esports,Team Falcons,171,0.00342,0.374597490977844,59,112
playoffs,1,3,B8 Esports,Team Liquid,2,4e-05,0.6488703030042267,1,1
playoffs,1,3,B8 Esports,Team Spirit,181,0.00362,0.22158290908322223,44,137
