state_type,match_id,deployment_history_status,eligible_for_state,consumed_by_state,eligibility_reason
form,695007,included,True,True,both sides identity-eligible: both histories updated
form,697699,included,True,True,both sides identity-eligible: both histories updated
form,698004,included,True,True,both sides identity-eligible: both histories updated
form,698192,included,True,True,both sides identity-eligible: both histories updated
form,698193,included,True,True,both sides identity-eligible: both histories updated
form,698604,included,True,True,both sides identity-eligible: both histories updated
form,698605,included,True,True,both sides identity-eligible: both histories updated
form,699512,included,True,True,both sides identity-eligible: both histories updated
form,699513,included,True,True,both sides identity-eligible: both histories updated
form,699859,included,True,True,both sides identity-eligible: both histories updated
form,699860,included,True,True,both sides identity-eligible: both histories updated
form,700053,included,True,True,both sides identity-eligible: both histories updated
form,700054,included,True,True,both sides identity-eligible: both histories updated
form,700055,included,True,True,both sides identity-eligible: both histories updated
form,700056,included,True,True,both sides identity-eligible: both histories updated
form,700057,included,True,True,both sides identity-eligible: both histories updated
form,700058,included,True,True,team1_not_identity_eligible - only the eligible side's own history updated
form,700107,included,True,True,both sides identity-eligible: both histories updated
form,700568,included,True,True,both sides identity-eligible: both histories updated
form,700790,included,True,True,both sides identity-eligible: both histories updated
form,701026,included,True,True,both sides identity-eligible: both histories updated
form,701381,included,True,True,both sides identity-eligible: both histories updated
form,702291,included,True,True,both sides identity-eligible: both histories updated
form,702945,included,True,True,both sides identity-eligible: both histories updated
form,702946,included,True,True,both sides identity-eligible: both histories updated
form,703259,included,True,True,both sides identity-eligible: both histories updated
form,703471,included,True,True,both sides identity-eligible: both histories updated
form,703484,included,True,True,both sides identity-eligible: both histories updated
form,703893,included,True,True,both sides identity-eligible: both histories updated
form,705442,included,True,True,both sides identity-eligible: both histories updated
form,705443,included,True,True,both sides identity-eligible: both histories updated
form,705445,included,True,True,both sides identity-eligible: both histories updated
form,705446,included,True,True,both sides identity-eligible: both histories updated
form,705447,included,True,True,both sides identity-eligible: both histories updated
form,710107,included,True,True,both sides identity-eligible: both histories updated
form,710108,included,True,True,both sides identity-eligible: both histories updated
form,712803,included,True,True,both sides identity-eligible: both histories updated
form,713238,included,True,True,both sides identity-eligible: both histories updated
form,713239,included,True,True,both sides identity-eligible: both histories updated
form,714117,included,True,True,both sides identity-eligible: both histories updated
form,714455,included,True,True,both sides identity-eligible: both histories updated
form,714456,included,True,True,both sides identity-eligible: both histories updated
form,714457,included,True,True,both sides identity-eligible: both histories updated
form,714458,included,True,True,both sides identity-eligible: both histories updated
form,715730,included,True,True,both sides identity-eligible: both histories updated
form,715731,included,True,True,both sides identity-eligible: both histories updated
form,716310,included,True,True,both sides identity-eligible: both histories updated
form,716311,included,True,True,both sides identity-eligible: both histories updated
form,716325,included,True,True,both sides identity-eligible: both histories updated
form,717650,included,True,True,both sides identity-eligible: both histories updated
form,717652,included,True,True,both sides identity-eligible: both histories updated
form,717826,included,True,True,both sides identity-eligible: both histories updated
form,718161,included,True,True,both sides identity-eligible: both histories updated
form,718163,included,True,True,both sides identity-eligible: both histories updated
form,718164,included,True,True,both sides identity-eligible: both histories updated
form,718165,included,True,True,both sides identity-eligible: both histories updated
form,718166,included,True,True,team2_not_identity_eligible - only the eligible side's own history updated
form,718273,included,True,True,both sides identity-eligible: both histories updated
form,718274,included,True,True,both sides identity-eligible: both histories updated
form,718350,included,True,True,both sides identity-eligible: both histories updated
form,718354,included,True,True,both sides identity-eligible: both histories updated
form,718508,included,True,True,both sides identity-eligible: both histories updated
form,718509,included,True,True,both sides identity-eligible: both histories updated
form,718510,included,True,True,both sides identity-eligible: both histories updated
form,718511,included,True,True,both sides identity-eligible: both histories updated
form,720310,included,True,True,both sides identity-eligible: both histories updated
form,721561,included,True,True,both sides identity-eligible: both histories updated
form,721563,included,True,True,both sides identity-eligible: both histories updated
form,722034,included,True,True,both sides identity-eligible: both histories updated
form,722282,included,True,True,both sides identity-eligible: both histories updated
form,722284,included,True,True,both sides identity-eligible: both histories updated
form,722448,included,True,True,both sides identity-eligible: both histories updated
form,722695,included,True,True,both sides identity-eligible: both histories updated
form,722700,included,True,True,both sides identity-eligible: both histories updated
form,724305,included,True,True,both sides identity-eligible: both histories updated
form,724676,included,True,True,both sides identity-eligible: both histories updated
form,726504,included,True,True,both sides identity-eligible: both histories updated
form,726727,included,True,True,both sides identity-eligible: both histories updated
form,726930,included,True,True,both sides identity-eligible: both histories updated
form,727021,included,True,True,both sides identity-eligible: both histories updated
form,727022,included,True,True,both sides identity-eligible: both histories updated
form,727033,included,True,True,both sides identity-eligible: both histories updated
form,727282,included,True,True,both sides identity-eligible: both histories updated
