team_id,team_name
282154,B8 Esports
282146,The Huns Esports
282148,M80
282144,FlyQuest
282142,GamerLegion
282138,Fnatic
282140,FaZe Clan
282134,Legacy
282136,B8 Esports
281800,FaZe Clan
281804,Fnatic
281806,Ninjas in Pyjamas
281802,GamerLegion
281796,PARIVISION
281798,B8 Esports
281792,Imperial Esports
281794,Legacy
281146,Fnatic
281140,FaZe Clan
281144,GamerLegion
281150,Ninjas in Pyjamas
281148,PARIVISION
281138,Legacy
281152,Imperial Esports
281142,B8 Esports
281480,FURIA Esports
281478,Team Falcons
281476,FURIA Esports
281474,Team Vitality
281472,Passion UA
281470,FURIA Esports
281468,paiN Gaming
281466,Passion UA
281464,The Mongolz
280636,Team Vitality
280634,FURIA Esports
280632,Team Spirit
280630,The Mongolz
281088,FURIA Esports
281090,MOUZ
281084,Team Falcons
281086,MOUZ
281080,FURIA Esports
281082,Astralis
280954,Team Spirit
280948,Astralis
280970,Team Vitality
280968,FURIA Esports
280952,The Mongolz
280950,Team Spirit
280962,Team Vitality
280964,G2 Esports
280940,Team Falcons
280942,TYLOO
280944,The Mongolz
280946,Heroic
280966,MOUZ
280960,FaZe Clan
280956,FURIA Esports
280958,Lynn Vision Gaming
280556,paiN Gaming
280554,Astralis
280564,G2 Esports
280552,The Mongolz
280560,MOUZ
280562,Team Vitality
280550,TYLOO
280558,FURIA Esports
280800,Aurora Gaming
280798,GamerLegion
280796,Legacy
280794,Aurora Gaming
280790,paiN Gaming
280792,SAW
280786,B8 Esports
280788,GamerLegion
280706,Aurora Gaming
280704,Legacy
280702,GamerLegion
280684,B8 Esports
280686,GamerLegion
280680,Team Liquid
280682,BetBoom Team
280678,Team 3DMAX
280676,Aurora Gaming
280652,Fnatic
280648,Ninjas in Pyjamas
280650,B8 Esports
280646,Aurora Gaming
280644,Team 3DMAX
280642,Astralis
280640,GamerLegion
280638,Team Liquid
280602,Team 3DMAX
280616,Astralis
280614,Fnatic
280608,Aurora Gaming
280606,Heroic
280612,SAW
280604,GamerLegion
280610,Legacy
280514,Aurora Gaming
280516,Astralis
280510,Team 3DMAX
280512,BetBoom Team
280508,GamerLegion
280506,Heroic
280504,Legacy
280502,paiN Gaming
279928,Team 3DMAX
279930,Team Liquid
279926,Heroic
279924,Team Liquid
279922,Legacy
279920,Team 3DMAX
279900,FUT Esports
279916,Virtus.pro
279906,Legacy
279890,Fnatic
279896,FUT Esports
279898,TYLOO
279914,Team 3DMAX
279912,MIBR
279886,TYLOO
279888,Heroic
279892,Fluxo
279894,B8 Esports
279904,Team Liquid
279902,Team 3DMAX
279908,The Huns Esports
279910,GamerLegion
279882,Heroic
279884,FUT Esports
279878,TYLOO
279880,Fnatic
279876,Lynn Vision Gaming
279874,GamerLegion
279870,The Huns Esports
279872,Virtus.pro
279624,FURIA Esports
279626,Aurora Gaming
279622,Natus Vincere
279620,FURIA Esports
279618,Aurora Gaming
279608,The Mongolz
279616,Imperial Esports
279614,Natus Vincere
279606,OG
279604,FURIA Esports
279612,Aurora Gaming
279610,Natus Vincere
279602,The Mongolz
279600,FURIA Esports
260092,Team Vitality
279568,FaZe Clan
279564,FaZe Clan
279566,MOUZ
279558,FURIA Esports
279556,Team Spirit
279560,MOUZ
279562,Team 3DMAX
279520,Aurora Gaming
279518,G2 Esports
279516,The Mongolz
279500,FaZe Clan
279498,Team Vitality
279494,Team 3DMAX
279496,The Mongolz
279492,Natus Vincere
279490,FURIA Esports
279426,MOUZ
279428,Team Spirit
279430,The Mongolz
279432,Astralis
279438,Team 3DMAX
279440,Inner Circle
279434,Team Vitality
279436,Gentle Mates
279286,FaZe Clan
279278,FURIA Esports
279284,Team Vitality
279276,Team Spirit
279282,Aurora Gaming
279274,MOUZ
279280,The Mongolz
279272,Team Falcons
279270,G2 Esports
279268,FURIA Esports
279264,Team Vitality
279266,Aurora Gaming
279260,The Mongolz
279262,Team Falcons
279258,MOUZ
279256,Team Spirit
279216,FURIA Esports
279214,Astralis
279212,G2 Esports
279190,Legacy
279196,FURIA Esports
279188,Team 3DMAX
279194,Astralis
279186,GamerLegion
279192,G2 Esports
279008,Heroic
279010,FURIA Esports
279014,NRG Esports
279006,Astralis
279004,G2 Esports
279002,Inner Circle
279012,M80
279000,HOTU
278920,FURIA Esports
278912,G2 Esports
278918,Legacy
278916,M80
278908,Astralis
278910,GamerLegion
278914,Team 3DMAX
278906,B8 Esports
278570,M80
278562,Heroic
278572,FURIA Esports
278568,Legacy
278574,GamerLegion
278564,Team 3DMAX
278560,G2 Esports
278566,Astralis
260088,The Mongolz
277880,FURIA Esports
277878,Team Liquid
277876,paiN Gaming
277874,FURIA Esports
277870,Aurora Gaming
277872,The Mongolz
277396,paiN Gaming
277394,Astralis
277392,FaZe Clan
277390,Astralis
277384,FURIA Esports
277388,TYLOO
277382,FaZe Clan
277386,Team 3DMAX
277380,G2 Esports
277366,Aurora Gaming
277370,Astralis
277364,Team Falcons
277372,Legacy
277374,Team 3DMAX
277376,Team Liquid
277378,Virtus.pro
277368,TYLOO
277354,FURIA Esports
277362,Heroic
277352,Aurora Gaming
277360,GamerLegion
277350,Team Falcons
277358,Virtus.pro
277348,Team 3DMAX
277356,The Mongolz
277236,FURIA Esports
277234,FaZe Clan
277232,G2 Esports
277230,Heroic
277228,Aurora Gaming
277226,Team Falcons
277224,The Mongolz
277222,GamerLegion
277826,Natus Vincere
277828,Ninjas in Pyjamas
277824,Gentle Mates
277822,Natus Vincere
277820,Passion UA
277818,PARIVISION
277810,Natus Vincere
277812,PARIVISION
277814,9INE
277816,B8 Esports
277164,Natus Vincere
277166,Gentle Mates
277170,OG
277168,B8 Esports
277526,Legacy
277524,BIG
277522,9z Team
277612,Team Venom
277512,TEAM NEXT LEVEL
277514,Ninjas in Pyjamas
277520,OG
277516,ENCE
277518,BetBoom Team
277510,Legacy
277508,SAW
277506,ECSTATIC
260086,Team Vitality
277006,FURIA Esports
277004,Team Vitality
277002,FaZe Clan
277000,MOUZ
276550,Team Spirit
276540,MOUZ
276534,M80
276524,Team Vitality
276548,G2 Esports
276546,Team Spirit
276530,Natus Vincere
276532,GamerLegion
276538,FURIA Esports
276536,MOUZ
276544,Legacy
276542,Imperial Esports
276522,Natus Vincere
276520,Team Vitality
276526,M80
276528,Fnatic
276516,FURIA Esports
276518,FlyQuest
276514,Team Liquid
276512,MOUZ
276508,Natus Vincere
276510,ECSTATIC
276506,Virtus.pro
276504,Team Vitality
276280,The Mongolz
276278,Team Vitality
276498,Team Falcons
276496,Team Vitality
276492,MOUZ
276494,Aurora Gaming
276490,Team Vitality
276488,Team 3DMAX
275406,Virtus.pro
275408,G2 Esports
275410,FaZe Clan
275412,Team Spirit
275398,Team Vitality
275400,TYLOO
275402,Natus Vincere
275404,GamerLegion
276138,Team Spirit
276134,Team Vitality
276136,MOUZ
276044,Team Spirit
276040,Team Vitality
276046,The Mongolz
276042,MOUZ
276216,Iberian Soul
276214,PARIVISION
276212,9INE
276218,OG
276022,FUT Esports
276002,ENCE
276012,JiJieHao
276010,TEAM NEXT LEVEL
276000,BetBoom Team
276020,Nemiga Gaming
276008,OG
276018,Iberian Soul
275990,Passion UA
276016,FUT Esports
276006,ECSTATIC
276014,Nemiga Gaming
276004,TEAM NEXT LEVEL
275998,ENCE
275988,BIG
275996,Fnatic
275986,Ninjas in Pyjamas
275994,ENCE
275984,BIG
275688,Heroic
275692,Fnatic
275690,Ninjas in Pyjamas
275686,GamerLegion
275680,FUT Esports
275676,Nemiga Gaming
275672,TEAM NEXT LEVEL
275684,ECSTATIC
275670,BIG
275682,OG
275678,BetBoom Team
275674,Passion UA
275420,Team Vitality
275422,Aurora Gaming
275384,MOUZ
275388,The Mongolz
275394,FURIA Esports
275386,Team Spirit
275390,FaZe Clan
275392,Natus Vincere
274564,Heroic
274546,Team Vitality
274554,Aurora Gaming
274552,The Mongolz
274576,Legacy
274570,paiN Gaming
274548,MOUZ
274560,FURIA Esports
274568,Astralis
274550,Team Spirit
274558,Natus Vincere
274566,Virtus.pro
274556,FaZe Clan
274562,G2 Esports
274572,Team Liquid
274574,B8 Esports
274284,MOUZ
274280,Team Vitality
274282,Team Spirit
274276,MOUZ
274278,The Mongolz
274266,FURIA Esports
274274,FaZe Clan
274260,Team Vitality
274268,MOUZ
274272,Natus Vincere
274270,Aurora Gaming
274262,Team Falcons
274264,G2 Esports
274140,Team Liquid
274134,Aurora Gaming
274136,Ninjas in Pyjamas
274138,MOUZ
274132,Astralis
274130,Team Vitality
274126,Team Falcons
274128,GamerLegion
273616,Team Spirit
273610,MOUZ
273612,Natus Vincere
273614,Aurora Gaming
273602,Team Vitality
273608,The Mongolz
273606,Team Falcons
273604,G2 Esports
274116,Team 3DMAX
274114,Astralis
274112,Virtus.pro
274118,Team Liquid
274074,BIG
274064,Astralis
274070,MIBR
274072,FaZe Clan
274068,Team 3DMAX
274066,B8 Esports
274060,GamerLegion
274062,Complexity
273588,Team Liquid
273592,Ninjas in Pyjamas
273586,FaZe Clan
273590,Team 3DMAX
273600,FlyQuest
273598,Astralis
273594,GamerLegion
273596,TYLOO
273844,Astralis
273840,BetBoom Team
273842,TYLOO
273832,GamerLegion
273834,Astralis
273838,SAW
273836,TYLOO
273572,BetBoom Team
273562,MIBR
273542,FURIA Esports
273552,Team 3DMAX
273570,Complexity
273560,TYLOO
273568,BetBoom Team
273558,Virtus.pro
273550,Lynn Vision Gaming
273540,GamerLegion
273548,Team 3DMAX
273538,Wildcard Gaming
273556,Astralis
273566,Heroic
273554,Virtus.pro
273564,Complexity
273536,SAW
273546,paiN Gaming
273544,Team 3DMAX
273534,GamerLegion
273830,TEAM NEXT LEVEL
273828,Nemiga Gaming
273824,PARIVISION
273826,TEAM NEXT LEVEL
273822,Sashi Esport
273820,PARIVISION
273812,Sashi Esport
273814,Nemiga Gaming
273818,OG
273816,Fnatic
273794,Passion UA
273792,Fnatic
273796,Nemiga Gaming
273798,Natus Vincere Junior
273786,Passion UA
273782,Alliance
273784,PARIVISION
273788,ESC Gaming
273772,Iberian Soul
273774,TEAM NEXT LEVEL
273770,Sashi Esport
273778,M1X
273790,9Pandas
273780,Hesta
273768,1win Team
273776,Sangal Esports
272628,Team Vitality
272974,Team USA
272626,The Mongolz
272624,MOUZ
272620,FaZe Clan
272618,Team Vitality
272622,FURIA Esports
272616,Team Spirit
271318,Virtus.pro
271316,The Mongolz
271314,Legacy
271304,Virtus.pro
271306,Natus Vincere
271302,The Mongolz
271312,Aurora Gaming
271310,Legacy
271308,Team 3DMAX
271292,paiN Gaming
271290,MOUZ
271286,FURIA Esports
271288,Team Spirit
271298,The Mongolz
271300,Aurora Gaming
271294,Team 3DMAX
271296,Legacy
271284,G2 Esports
271282,The Mongolz
271278,Team Vitality
271280,MOUZ
271276,Team Spirit
271274,Team 3DMAX
271272,Aurora Gaming
271270,Virtus.pro
271268,Team Liquid
271266,Natus Vincere
271262,The Mongolz
271264,Aurora Gaming
271260,G2 Esports
271258,Team Spirit
271256,MOUZ
271254,Team Vitality
271248,FaZe Clan
271250,B8 Esports
271252,Nemiga Gaming
271238,FaZe Clan
271240,FURIA Esports
271246,Team Falcons
271236,paiN Gaming
271242,TYLOO
271244,Nemiga Gaming
271226,MIBR
271224,OG
271222,paiN Gaming
271220,FaZe Clan
271232,B8 Esports
271234,FURIA Esports
271228,TYLOO
271230,Team 3DMAX
271214,MIBR
271218,M80
271212,Team Falcons
271216,Heroic
271204,FaZe Clan
271206,Team 3DMAX
271210,Virtus.pro
271208,paiN Gaming
271202,M80
271200,MIBR
271196,paiN Gaming
271198,FURIA Esports
271192,Team 3DMAX
271194,Virtus.pro
271190,FaZe Clan
271188,Team Falcons
271186,FlyQuest
271184,Wildcard Gaming
271182,NRG Esports
271174,FlyQuest
271172,BetBoom Team
271180,Chinggis Warriors
271170,OG
271176,Complexity
271178,Imperial Esports
271158,Chinggis Warriors
271160,Imperial Esports
271156,B8 Esports
271154,Heroic
271168,Lynn Vision Gaming
271166,OG
271164,BetBoom Team
271162,NRG Esports
271150,TYLOO
271146,Imperial Esports
271148,Chinggis Warriors
271152,Complexity
271142,BetBoom Team
271144,Lynn Vision Gaming
271138,B8 Esports
271140,Heroic
269938,FlyQuest
269936,Wildcard Gaming
269934,Lynn Vision Gaming
269932,TYLOO
269930,BetBoom Team
269928,B8 Esports
269926,Heroic
269924,Complexity
270706,Team Vitality
270702,Team Vitality
270704,The Mongolz
270698,Team Falcons
270700,The Mongolz
271020,G2 Esports
271010,Team Vitality
271026,MOUZ
271036,Heroic
271016,G2 Esports
271018,GamerLegion
271032,Heroic
271034,Team Liquid
271008,The Mongolz
271014,FURIA Esports
271030,Aurora Gaming
271024,Heroic
271006,Team Vitality
271022,MOUZ
271028,BCGame
271012,Legacy
270070,Aurora Gaming
270062,The Mongolz
270064,Lynn Vision Gaming
270072,NRG Esports
270066,MOUZ
270058,Team Vitality
270060,Team 3DMAX
270068,Team Liquid
270676,Astralis
270678,Aurora Gaming
270674,FURIA Esports
270672,Aurora Gaming
270416,Ninjas in Pyjamas
270414,FURIA Esports
270412,Astralis
270410,The Mongolz
270146,MIBR
270144,ODDIK
270142,Ninjas in Pyjamas
270134,Natus Vincere
270140,MIBR
270138,BIG
270132,Astralis
270136,Ninjas in Pyjamas
270130,FURIA Esports
270116,Astralis
270114,The Mongolz
270120,G2 Esports
270118,GamerLegion
270126,Ninjas in Pyjamas
270128,paiN Gaming
270122,FURIA Esports
270124,BIG
270112,G2 Esports
270110,Aurora Gaming
270104,Team Spirit
270102,Natus Vincere
270108,GamerLegion
270100,Astralis
270098,The Mongolz
270106,Virtus.pro
269686,paiN Gaming
269678,Team Spirit
269676,Natus Vincere
269684,Virtus.pro
269674,The Mongolz
269682,G2 Esports
269680,Astralis
269672,Aurora Gaming
270296,TYLOO
270294,FlyQuest
269704,TYLOO
269712,JiJieHao
269708,FlyQuest
269716,Lynn Vision Gaming
269706,Rare Atom
269702,TYLOO
269714,The Huns Esports
269710,JiJieHao
269700,FlyQuest
269698,TYLOO
269696,Lynn Vision Gaming
269694,The Huns Esports
269222,Team Vitality
269218,Team Vitality
269220,MOUZ
269214,Team Spirit
269216,MOUZ
269230,Team Spirit
269228,FlyQuest
269226,MOUZ
