tournament
Esports World Cup 2024 по CS2
FiReLEAGUE Global Finals 2024
BLAST Premier: Spring Final 2024
ESL Challenger Jonköping 2024
ESL Pro League Season 20: European Conference
Thunderpick World Championship 2024 - Qualifiers СА #2
IEM Dallas 2024
MESA Nomadic Masters Spring 2024
Thunderpick World Championship 2024 - Qualifiers СА #1
CCT Global Finals
BetBoom Dacha CS2 Belgrade 2024
Thunderpick World Championship 2024 - Qualifiers ЮА #1
ESL Pro League Season 19
Thunderpick World Championship 2024 - Qualifiers Europe #1
Global Esports Tour Rio de Janeiro 2024
Esports World Cup 2024 по CS2. Closed Qualifier
Esports World Cup 2024 по CS2. Open Qualifier
IEM Chengdu 2024
BetBoom Dacha CS2 Belgrade 2024: Qualifier Europe
BetBoom Dacha CS2 Belgrade 2024: Qualifier ЮА
ESL Challenger Jonköping 2024. Closed Qualifier
PGL Major Copenhagen 2024
ESL Challenger Jonköping 2024. Open Qualifier
IEM Dallas 2024: Qualifier Europe
BLAST Premier: Spring Showdown 2024
PGL CS2 Major Copenhagen 2024: American RMR
PGL CS2 Major Copenhagen 2024: Asia-Pacific RMR
IEM Dallas 2024: Qualifier СА
IEM Dallas 2024: Qualifier ЮА
PGL CS2 Major Copenhagen 2024: European RMR Decider
IEM Dallas 2024: Qualifier Океании
PGL CS2 Major Copenhagen 2024: European RMR B
PGL CS2 Major Copenhagen 2024: European RMR A
IEM Katowice 2024
IEM Chengdu 2024. Open Qualifier
PGL CS2 Major Copenhagen 2024: Closed Qualifiers
BLAST Premier: Spring Groups 2024
PGL CS2 Major Copenhagen 2024: Open Qualifiers
ESL Challenger Atlanta 2023
BLAST Premier: World Final 2023
BetBoom Dacha
Elisa Masters Espoo 2023
BLAST Premier: Fall Final 2023
BetBoom Dacha. Closed Qualifier
ESL Challenger Atlanta 2023. Qualifiers
CS2 Asia Championships 2023
IEM Chengdu 2024. Closed Qualifier
Thunderpick World Championship 2023
IEM Sydney 2023
Roman Imperium Cup VII
JOURNEY Spring 2026
BC.Game Masters Championship
Roman Imperium Cup VI
CCT Season 3 European Series #17
NODWIN Clutch Series #5
CCT Season 3 European Series #16
Myskill Pro League Series 2
Parken Challenger Championship #1
Roman Imperium Cup V
CCT Season 3 European Series #15
IstanbuLAN 2026
RES Showdown Spring 2026
CCT Season 3 European Series #14
NODWIN Clutch Series #4
Exort Cataclysm Season 1
CCT Season 3 European Series #13
MySkill Pro League Series 1
Zhi-Tech Elite Masters 2026
Zhi-Tech Elite Masters 2026. Closed Qualifiers
BetBoom RUSH B! Summit 2026
BetBoom Streamers Battle x Динамо CS #4
Games Future 2025
MySkill Pro League Season 3
CCT Season 3 European Series #12
European Pro League Series 3
Galaxy Battle 2025 // Phase 5
ESL Impact League Season 8
X2ONE Masters Season 1
CCT Season 3 European Series #11
JB Pro League
Skyesports Chennai Esports Global Championship 2025
CCT Season 3 European Series #10
Red Bull GIBAWAY JOURNEY 2025
CCT Season 3 European Series #9
Skyesports Chennai Esports Global Championship 2025. European Qualifier
ESL Challenger League Season 50: Europe — Cup #3
Evelone Duo Cup Season 2
Exort The Proving Grounds Season 5
CCT Season 3 European Series #8
CCT Season 3 European Series #7
Birch Cup 2025
European Pro League Series 2
Exort The Proving Grounds Season 4
ESL Challenger League Season 50: Europe — Cup #2
CCT Season 3 European Series #6
ESL Challenger League Season 50: Europe — Cup #1
CCT Season 3 European Series #5
Perfect World CS Challenge Series #1
Exort The Proving Grounds Season 3
Thunderpick World Championship 2025: European Series #2
CCT Season 3 European Series #4
BetBoom ct0m Cup
CCT Season 3 European Series #3
CCT Season 3 European Series #2
Conquest of Prague 2025
ESL Impact League Season 7
CCT Season 3 European Series #1
ESL Challenger League Season 49 — Europe
BetBoom LanDaLan #2
Thunderpick World Championship 2025: European Series #1
MESA Nomadic Masters: Spring 2025
FiReLEAGUE Buenos Aires 2025
CCT Season 2 Global Finals
YaLLa Compass Qatar 2025
BetBoom LanDaLan #2. Closed Qualifier
YaLLa Compass Qatar 2025. Closed Qualifier
CCT Season 2 European Series #20
YaLLa Compass Winter 2025
CCT Season 2 European Series #19
CCT Season 2 European Series #18
CCT Season 2 European Series #17
BetBoom LanDaLan 2025
CCT Season 2 European Series #16
ICE Invitational 2025
Evelone Duo Cup
CCT Season 2 European Series #15
ESL Impact League Season 6
IESF World Esports Championship 2024
YaLLa Compass Fall 2024
ESL Challenger Katowice 2024
Elisa Masters Espoo 2024
ESL Challenger League Season 48 — Europe
ESL Impact League Season 6: European Division
RES Regional Champions
CCT Season 2 European Series #14
BetBoom All-Star 2x2
ESL Challenger Atlanta 2024
CCT Season 2 European Series #13
ESL Challenger Katowice 2024. Closed Qualifier
CCT Season 2 European Series #12
YaLLa Compass Summer 2024
CCT Season 2 European Series #11
Elisa Invitational Fall 2024
CCT Season 2 European Series #10
ESL Challenger Atlanta 2024. Qualifier Europe
ESL Challenger Atlanta 2024. Qualifier America
CCT Season 2 European Series #9
ESL Challenger Atlanta 2024. Qualifier Океании
CCT Season 2 European Series #8
Nordic Masters Fall 2024
CCT Season 2 European Series #7
Skyesports Championship 2024
CCT Season 2 European Series #6
IESF World Esports Championship 2024. Qualifier Западной Europe
IESF World Esports Championship 2024. Qualifier East Europe
Чемпионат России 2024 по CS2
BetBoom Aunkere Cup 2
CCT Season 2 European Series #5
ESL Challenger League Season 47 Relegation: Europe
Skyesports Championship 2024: European Qualifier
RES European Series #5
YaLLa Compass 2024
ESL Challenger League Season 47 — Europe
RES European Masters Fall 2024
CCT Season 2 European Series #4
ESL Impact League Season 5
CCT Season 2 European Series #3
RES European Series #4
Elisa Invitational Spring 2024
CCT Season 2 European Series #2
CCT Season 2 European Series #1
YaLLa Compass Spring 2024
ESL Challenger Melbourne 2024
RES European Series #2
Skyesports Masters 2024
Skyesports Masters 2024: Qualifier
RES European Series #1
ESL Challenger Melbourne 2024 - Closed Qualifiers
Games Future 2024
RES Eastern European Masters: Spring 2024
RES Western European Masters: Spring 2024
ESL Challenger League Season 46 — Europe
ESL Impact League Season 4
CCT Online Finals #5
ESL Challenger Jonköping 2023
CBCS Invitational 2023
"PARI, PLEASE"
CCT Online Finals #4
Roobet Cup 2023
ESL Challenger Jonköping 2023. Qualifiers
CCT East Europe Series #3
CCT North Europe Series #8
RES European Series #3
Copenhagen Gaming Week 2024
Rofl Streamers Battle
CIS LAN Championship #3
IZI WEX Season 1
GLuck StarPearl — Season 1
European Pro League Series 4
Roman Imperium Cup IV
fl0m's Mythical LAN
Urban Riga Open #2
META Cup Season 3
FRAG Miami 2 2026
Open киберспортивные Games 2025 CS2
ESL Challenger League Season 50: Europe
Majestic LanDaLan #3
Majestic LanDaLan #3. Closed Qualifier
DraculaN #1
Кубок России Сбера 2025 по CS2
European Pro League Season 27
Myskill Pro League Season 2
BetBoom Streamers Battle CS #3
RES Showdown Fall 2025
Чемпионат России Сбера 2025 по CS2
Национальная студенческая лига киберспорта Сбера 2025 CS2
Студенческая лига Сбера 2025
BetBoom Streamers Battle CS2 #2
Myskill Pro League Season 1
Шоу-матч Team Evelone против Imperial Female
BetBoom Aunkere Cup 2x2 #2
BetBoom Woman Cup
BetBoom Aunkere Cup 2x2
Showmatch: Team OverDrive vs Team Evelon192
BetBoom Streamers Battle CS2
Open киберспортивные Games 2024 CS2
Национальная Студенческая Лига Киберспорта CS2
A1 Gaming League Season 9
Friday Fight
European Pro League Season 20
Шоу-матч: Team s1mple vs Team Evelone
FONBET Кубок России 2024 по CS2
RES European Series #6
Regional Clash Arena CIS
Regional Clash Arena Europe
Betswap Winter Cup
BetBoom All-Star 5x5
YaLLa Compass Fall 2023
European Pro League Season 12
Svenska Cupen 2023
VK GG Show
CCT Central Europe Series #8
Buster CS2 League
BLAST Rivals Spring 2026
CCT Europe 2026 Series #2
CS Asia Championships 2026
IEM Atlanta 2026
IEM Cologne Major 2026
IEM Rio 2026
PGL Astana 2026
PGL Bucharest 2026
CCT Europe 2026 Series #1
CCT Europe 2026 Series #4
CIS LAN #5
DraculaN Season 6
ESL Challenger League Season 51: Europe — Cup #3
ESL Challenger League Season 51: Europe — Cup #4
ESL Challenger League Season 51: Europe — Regional Final
NODWIN Clutch Series #7
Stake Ranked Episode 1
Stake Ranked Episode 2
Streamers League #1
CIS LAN Championship #4
European Pro League Series 7
HLC Belgrade PRO 2026
Super DraculaN Season 1
Шоу-матч MOUZ vs WW Team
